Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Argentina,2000,8738.947,0.025,0.0,6.543,0.0,8614.174,0.0,0.0,115.468,0.0,0.0,2.137,0.6,15590.947,974.0,516.432,790.016,12305.499,0.0,1005.0,0.0,6.543
Argentina,2001,8756.453,0.111,0.0,0.069,0.0,8638.504,0.0,0.0,115.032,0.0,0.0,2.137,0.6,16609.778,974.0,352.978,503.056,13774.744,0.0,1005.0,0.0,0.069
Argentina,2002,8921.956,0.122,0.0,2.769,0.0,8787.841,0.0,0.0,128.487,0.0,0.0,2.137,0.6,16559.804,974.0,239.519,322.781,14018.504,0.0,1005.0,0.0,2.769
Argentina,2003,8969.555,0.156,0.0,0.069,0.0,8811.531,0.0,0.0,138.462,0.0,0.0,18.737,0.6,16675.636,974.0,247.916,442.632,14006.088,0.0,1005.0,0.0,0.069
Argentina,2004,9085.333,0.205,0.0,0.069,0.0,8927.951,0.0,0.0,137.771,0.0,0.0,18.737,0.6,16581.21,974.0,471.551,1427.871,12702.788,0.0,1005.0,0.0,0.069
Argentina,2005,9113.604,0.216,0.0,0.069,0.0,8950.051,0.0,0.0,143.931,0.0,0.0,18.737,0.6,16541.939,974.0,608.308,1779.481,12175.15,0.0,1005.0,0.0,0.069
Argentina,2006,9118.973,0.241,0.0,0.069,0.0,8949.991,0.0,0.0,149.335,0.0,0.0,18.737,0.6,16371.328,974.0,643.641,2442.25,11306.437,0.0,1005.0,0.0,0.069
Argentina,2007,9381.318,0.241,0.0,0.069,0.0,9185.891,0.0,0.0,175.78,0.0,0.0,18.737,0.6,16426.84,974.0,675.462,3639.044,10133.334,0.0,1005.0,0.0,0.069
Argentina,2008,9387.35,0.345,0.0,0.071,0.0,9194.121,0.0,0.0,173.476,0.0,0.0,18.737,0.6,17928.971,974.0,842.955,4274.575,10832.441,0.0,1005.0,0.0,0.071
Argentina,2009,9765.505,2.984,0.0,0.88,0.0,9565.191,0.0,0.0,177.713,0.0,0.0,18.737,0.0,18963.166,974.0,738.597,3454.57,12790.999,0.0,1005.0,0.0,0.88
Argentina,2010,9778.899,4.898,0.0,1.134,0.0,9566.132,0.0,0.0,187.998,0.0,0.0,18.737,0.0,19639.333,974.0,776.474,5145.262,11738.597,0.0,1005.0,0.0,1.134
Argentina,2011,10316.908,6.38,0.0,7.433,0.0,10097.079,0.0,0.0,187.279,0.0,0.0,18.737,0.0,20491.503,974.0,944.34,6107.345,11460.818,0.0,1005.0,0.0,7.433
Argentina,2012,10470.451,12.474,0.0,110.033,0.0,10135.749,0.0,0.0,193.458,0.0,0.0,18.737,0.0,21484.274,974.0,908.277,6151.563,12445.434,0.0,1005.0,0.0,110.033
Argentina,2013,10528.848,15.521,0.0,163.032,0.0,10135.645,0.0,0.0,195.913,0.0,0.0,18.737,0.0,24912.785,974.0,675.0,5225.431,17028.354,0.0,1010.0,0.0,163.032
Argentina,2014,10532.343,15.521,0.0,188.24,0.0,10138.179,0.0,0.0,171.666,0.0,0.0,18.737,0.0,26256.31,974.0,675.0,5805.956,17276.354,0.0,1525.0,0.0,188.24
Argentina,2015,10562.858,15.521,0.0,188.24,0.0,10139.709,0.0,0.0,200.651,0.0,0.0,18.737,0.0,23625.821,974.0,500.0,4688.222,15733.599,0.0,1730.0,0.0,188.24
Argentina,2016,10624.886,15.52,0.0,188.24,0.0,10201.738,0.0,0.0,200.651,0.0,0.0,18.737,0.0,23989.119,974.0,500.0,4719.01,16041.109,0.0,1755.0,0.0,188.24
Argentina,2017,10744.996,15.52,0.0,227.555,0.0,10274.618,0.0,0.0,203.651,0.0,0.0,23.652,0.0,26174.608,974.0,500.0,4661.824,18283.784,0.0,1755.0,0.0,227.555
Argentina,2018,11511.726,197.95,0.0,751.155,0.0,10320.118,0.0,0.0,217.651,0.0,0.0,24.852,0.0,27752.324,974.0,500.0,4458.992,20064.332,0.0,1755.0,0.0,751.155
Argentina,2019,12664.275,447.239,0.0,1609.455,0.0,10342.118,0.0,0.0,219.651,0.0,0.0,45.812,0.0,27917.742,974.0,500.0,4501.018,20187.724,0.0,1755.0,0.0,1609.455
Argentina,2020,14101.694,768.973,0.0,2624.0,0.0,10375.758,0.0,0.0,276.251,0.0,0.0,56.712,0.0,28706.354,974.0,500.0,4540.16,20937.194,0.0,1755.0,0.0,2624.0
Argentina,2021,15113.777,1080.226,0.0,3292.22,0.0,10377.268,0.0,0.0,295.951,0.0,0.0,68.112,0.0,28743.388,974.0,500.0,4520.388,20994.0,0.0,1755.0,0.0,3292.22
Argentina,2022,15184.655,1116.264,0.0,3310.22,0.0,10390.488,0.0,0.0,295.951,0.0,0.0,71.732,0.0,28620.048,974.0,500.0,4529.074,20861.974,0.0,1755.0,0.0,3310.22
Argentina,2023,15886.46,1408.431,0.0,3706.32,0.0,10390.488,0.0,0.0,300.951,0.0,0.0,80.27,0.0,29173.228,974.0,500.0,4543.524,21400.704,0.0,1755.0,0.0,3706.32
