Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Australia,2000,7261.2,25.0,0.0,33.0,0.0,6781.0,0.0,0.0,332.0,0.0,0.0,90.0,0.2,38013.0,1490.0,26733.0,1931.0,5497.0,2362.0,0.0,0.0,33.0
Australia,2001,7461.2,29.0,0.0,76.0,0.0,6781.0,0.0,0.0,483.0,0.0,0.0,92.0,0.2,38612.0,1490.0,27520.0,1700.0,5846.0,2056.0,0.0,0.0,76.0
Australia,2002,7503.2,34.0,0.0,106.0,0.0,6781.0,0.0,0.0,483.0,0.0,0.0,99.0,0.2,41236.0,1490.0,27317.0,1882.0,8304.0,2243.0,0.0,0.0,106.0
Australia,2003,7636.5,39.0,0.4,190.0,0.0,6781.0,0.0,0.0,483.0,0.0,0.0,143.0,0.1,42347.0,1490.0,29836.0,1620.0,8538.0,863.0,0.0,0.0,190.0
Australia,2004,7976.5,46.0,0.4,379.0,0.0,6855.0,0.0,0.0,489.0,0.0,0.0,207.0,0.1,42271.0,1416.0,30026.0,1196.0,8748.0,885.0,0.0,0.0,379.0
Australia,2005,9010.6,52.0,0.4,740.0,0.0,5661.0,1800.0,0.0,492.0,0.0,0.0,265.0,0.2,40868.0,810.0,29014.0,1089.0,8377.0,1578.0,0.0,0.0,740.0
Australia,2006,9166.5,61.0,0.4,819.0,0.0,5661.0,1800.0,0.0,555.0,0.0,0.0,270.0,0.1,41223.0,810.0,28813.0,1111.0,8951.0,1538.0,0.0,0.0,819.0
Australia,2007,9624.1,70.0,3.0,1249.0,0.0,5661.0,1800.0,1.0,567.0,0.0,0.0,273.0,0.1,43518.0,810.0,28890.0,1045.0,11227.0,1546.0,0.0,0.0,1249.0
Australia,2008,9773.1,82.0,3.0,1441.0,0.0,5661.0,1800.0,1.0,567.0,0.0,0.0,218.0,0.1,44294.0,810.0,29291.0,1074.0,11710.0,1409.0,0.0,0.0,1441.0
Australia,2009,10319.1,329.0,3.0,1703.0,0.0,5661.0,1800.0,1.0,597.0,0.0,0.0,225.0,0.1,46616.0,810.0,29727.0,1336.0,13805.0,938.0,0.0,0.0,1703.0
Australia,2010,11242.1,1088.0,3.0,1864.0,0.0,5661.0,1800.0,1.0,597.0,0.0,0.0,228.0,0.1,49556.0,810.0,29682.0,2180.0,15863.0,1021.0,0.0,0.0,1864.0
Australia,2011,12888.1,2470.0,3.0,2127.0,0.0,5661.0,1800.0,1.0,597.0,0.0,0.0,229.0,0.1,50028.0,810.0,29897.0,2121.0,16372.0,828.0,0.0,0.0,2127.0
Australia,2012,14649.1,3796.0,3.0,2561.0,0.0,5661.0,1800.0,1.0,597.0,0.0,0.0,230.0,0.1,50360.0,810.0,29897.0,1707.0,16949.0,997.0,0.0,0.0,2561.0
Australia,2013,16068.1,4565.0,3.0,3221.0,0.0,5661.0,1800.0,1.0,597.0,0.0,0.0,220.0,0.1,50164.0,810.0,28906.0,2137.0,17272.0,1039.0,0.0,0.0,3221.0
Australia,2014,17370.1,5284.0,3.0,3797.0,0.0,5661.0,1800.0,1.0,598.0,0.0,0.0,226.0,0.1,50690.0,810.0,28969.0,1987.0,17797.0,1127.0,0.0,0.0,3797.0
Australia,2015,18415.1,5943.0,3.0,4181.0,0.0,5661.0,1800.0,1.0,598.0,0.0,0.0,228.0,0.1,55998.0,810.0,28170.0,3406.0,22573.0,1039.0,0.0,0.0,4181.0
Australia,2016,19339.1,6686.0,3.0,4324.0,0.0,5661.0,1800.0,1.0,674.0,0.0,0.0,190.0,0.1,53960.0,810.0,27234.0,3083.0,22500.0,333.0,0.0,0.0,4324.0
Australia,2017,21024.1,7288.0,3.0,5407.0,0.0,5661.0,1800.0,1.0,674.0,0.0,0.0,190.0,0.1,51164.0,810.0,25150.0,2493.0,22127.0,584.0,0.0,0.0,5407.0
Australia,2018,26351.1,11362.0,3.0,6409.0,0.0,5913.0,1800.0,0.0,674.0,0.0,0.0,190.0,0.1,51646.0,810.0,24954.0,2441.0,22846.0,595.0,0.0,0.0,6409.0
Australia,2019,32605.1,16144.0,3.0,7881.0,0.0,5913.0,1800.0,0.0,674.0,0.0,0.0,190.0,0.1,51486.0,810.0,24954.0,2399.0,22722.0,601.0,0.0,0.0,7881.0
Australia,2020,39629.1,20835.0,3.0,10207.0,0.0,5913.0,1800.0,0.0,674.0,0.0,0.0,197.0,0.1,52765.0,810.0,24986.0,2307.0,24060.0,602.0,0.0,0.0,10207.0
Australia,2021,44896.1,25754.0,3.0,10555.0,0.0,5913.0,1800.0,0.0,674.0,0.0,0.0,197.0,0.1,53162.0,810.0,24986.0,2434.0,24330.0,602.0,0.0,0.0,10555.0
Australia,2022,49104.04,29955.0,3.0,10555.0,0.0,5913.0,1800.0,0.0,674.0,0.36,0.0,203.58,0.1,54507.0,810.0,24286.0,2434.0,26375.0,602.0,0.0,0.0,10555.0
Australia,2023,54328.0,33680.0,3.0,11327.0,0.0,6639.96,1800.0,0.0,674.0,0.36,0.0,203.58,0.1,52727.0,810.0,22446.0,2434.0,26435.0,602.0,0.0,0.0,11327.0
