Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Austria,2000,12478.0,5.0,0.0,50.0,0.0,7676.0,3937.0,0.0,780.0,6.0,0.0,24.0,0.0,5324.0,0.0,0.0,0.0,0.0,5247.0,0.0,77.0,50.0
Austria,2001,12513.0,7.0,0.0,67.0,0.0,7703.0,3937.0,0.0,766.0,6.0,0.0,27.0,0.0,5596.0,0.0,0.0,0.0,0.0,5407.0,0.0,189.0,67.0
Austria,2002,12416.0,9.0,0.0,109.0,0.0,7567.0,3937.0,0.0,766.0,6.0,2.0,18.0,2.0,5450.0,0.0,0.0,0.0,0.0,5257.0,0.0,193.0,109.0
Austria,2003,12879.0,23.0,0.0,322.0,0.0,7607.0,3938.0,0.0,766.0,182.0,10.0,29.0,2.0,5296.0,0.0,0.0,0.0,0.0,4922.0,0.0,374.0,322.0
Austria,2004,13182.0,27.0,0.0,581.0,0.0,7613.0,3965.0,0.0,766.0,182.0,17.0,29.0,2.0,5542.0,0.0,0.0,0.0,0.0,5138.0,0.0,404.0,581.0
Austria,2005,14242.581,21.018,0.0,825.219,0.0,7834.412,3964.63,0.0,1118.31,209.855,50.44,217.782,0.915,4859.613,0.0,0.0,0.0,0.0,4431.04,0.0,428.573,825.219
Austria,2006,14643.451,22.387,0.0,968.269,0.0,7860.496,3964.6,0.0,1334.785,215.453,54.377,222.169,0.915,4678.216,0.0,0.0,0.0,0.0,4176.416,0.0,501.8,968.269
Austria,2007,15085.421,24.238,0.0,991.159,0.0,8023.589,3964.6,0.0,1548.85,215.313,27.405,289.352,0.915,4199.08,0.0,0.0,0.0,0.0,3711.793,0.0,487.287,991.159
Austria,2008,15569.902,30.12,0.0,991.974,0.0,8026.433,4414.517,0.0,1542.49,222.984,55.81,284.659,0.915,5141.056,0.0,0.0,0.0,0.0,4645.634,0.0,495.422,991.974
Austria,2009,15860.117,48.915,0.0,1000.985,0.0,8011.913,4618.517,0.0,1553.826,243.691,45.873,335.482,0.915,5099.128,0.0,0.0,0.0,0.0,4563.928,0.0,535.2,1000.985
Austria,2010,16176.713,88.813,0.0,1015.828,0.0,8102.331,4792.517,0.0,1588.634,242.895,14.51,330.27,0.915,5168.691,0.0,0.0,0.0,0.0,4494.656,0.0,674.035,1015.828
Austria,2011,16707.796,174.07,0.0,1105.966,0.0,8144.173,5033.217,0.0,1627.97,241.945,7.342,372.198,0.915,5928.545,0.0,0.0,0.0,0.0,5257.36,0.0,671.185,1105.966
Austria,2012,16655.993,337.483,0.0,1337.15,0.0,8200.672,5108.217,0.0,1105.461,287.645,5.513,272.937,0.915,6489.444,0.0,0.0,0.0,0.0,5705.059,0.0,784.385,1337.15
Austria,2013,17192.147,625.974,0.0,1674.538,0.0,8272.179,5111.217,0.0,1017.352,289.576,6.359,194.037,0.915,6662.676,0.0,0.0,0.0,0.0,5874.35,0.0,788.326,1674.538
Austria,2014,17839.29,785.246,0.0,2110.275,0.0,8321.625,5210.627,0.0,958.884,261.82,1.025,188.873,0.915,6448.398,0.0,0.0,0.0,0.0,5750.338,0.0,698.06,2110.275
Austria,2015,18472.733,937.098,0.0,2488.726,0.0,8456.265,5193.39,0.0,938.621,262.92,3.385,191.413,0.915,6268.661,0.0,0.0,0.0,0.0,5525.501,0.0,743.16,2488.726
Austria,2016,19336.038,1096.016,0.0,2729.996,0.0,8492.924,5623.39,0.0,916.695,270.82,2.969,202.304,0.924,5880.212,0.0,0.0,0.0,0.0,5173.152,0.0,707.06,2729.996
Austria,2017,19596.306,1268.971,0.0,2886.698,0.0,8505.668,5644.28,0.0,837.771,270.72,1.204,180.079,0.915,5322.805,0.0,0.0,0.0,0.0,4615.845,0.0,706.96,2886.698
Austria,2018,20375.599,1455.132,0.0,3132.713,0.0,8850.966,5665.28,0.0,824.253,269.62,1.324,175.396,0.915,5261.924,0.0,0.0,0.0,0.0,4556.064,0.0,705.86,3132.713
Austria,2019,20773.542,1702.093,0.0,3224.117,0.0,8923.828,5673.28,0.0,813.428,271.62,0.521,163.74,0.915,5128.342,0.0,0.0,0.0,0.0,4420.482,0.0,707.86,3224.117
Austria,2020,21155.592,2042.934,0.0,3225.979,0.0,8903.205,5731.3,0.0,816.199,270.02,0.461,164.579,0.915,5194.131,0.0,0.0,0.0,0.0,4479.871,0.0,714.26,3225.979
Austria,2021,22109.685,2782.602,0.0,3407.811,0.0,8986.648,5761.28,0.0,764.702,240.12,0.065,166.207,0.25,5280.329,0.0,0.0,0.0,0.0,4650.469,0.0,629.86,3407.811
Austria,2022,23489.417,3791.704,0.0,3579.236,0.0,9127.846,5795.28,0.0,784.199,245.0,0.025,165.877,0.25,4705.893,0.0,0.0,0.0,0.0,4071.153,0.0,634.74,3579.236
Austria,2023,26712.417,6831.704,0.0,3977.236,0.0,9042.846,5665.28,0.0,784.199,245.0,0.025,165.877,0.25,4726.893,0.0,0.0,0.0,0.0,4092.153,0.0,634.74,3977.236
