Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Belgium,2000,232.5,0.0,0.0,14.0,0.0,103.0,0.0,0.0,47.0,48.5,0.0,20.0,0.0,15452.5,1310.0,0.0,0.0,0.0,8242.0,5713.0,187.5,14.0
Belgium,2001,277.5,0.0,0.0,26.0,0.0,111.0,0.0,0.0,62.0,50.5,0.0,28.0,0.0,15255.5,1310.0,0.0,0.0,0.0,8018.0,5738.0,189.5,26.0
Belgium,2002,300.0,1.0,0.0,31.0,0.0,111.0,0.0,0.0,57.0,67.0,0.0,33.0,0.0,15252.0,1310.0,0.0,0.0,0.0,7986.0,5761.0,195.0,31.0
Belgium,2003,407.5,1.0,0.0,67.0,0.0,110.0,0.0,0.0,121.0,66.5,0.0,42.0,0.0,15207.5,1310.0,0.0,0.0,0.0,7965.0,5761.0,171.5,67.0
Belgium,2004,458.0,1.0,0.0,96.0,0.0,115.0,0.0,0.0,130.0,66.0,0.0,50.0,0.0,15190.0,1310.0,0.0,0.0,0.0,7948.0,5761.0,171.0,96.0
Belgium,2005,788.5,2.0,0.0,167.0,0.0,105.0,0.0,0.0,294.0,69.5,95.0,56.0,0.0,15307.5,1307.0,0.0,0.0,0.0,8024.0,5802.0,174.5,167.0
Belgium,2006,879.0,2.0,0.0,212.0,0.0,107.0,0.0,0.0,307.0,98.0,100.0,53.0,0.0,15381.0,1307.0,0.0,0.0,0.0,8046.0,5825.0,203.0,212.0
Belgium,2007,988.5,20.0,0.0,276.0,0.0,110.0,0.0,0.0,329.0,88.5,97.0,68.0,0.0,15391.5,1307.0,0.0,0.0,0.0,8060.0,5825.0,199.5,276.0
Belgium,2008,1192.5,62.0,0.0,324.0,0.0,111.0,0.0,0.0,442.0,92.5,73.0,88.0,0.0,15565.5,1307.0,0.0,0.0,0.0,8229.0,5825.0,204.5,324.0
Belgium,2009,2011.0,386.0,0.0,576.5,31.5,110.0,0.0,0.0,554.0,109.0,139.0,105.0,0.0,15774.0,1307.0,0.0,0.0,0.0,8345.0,5902.0,220.0,608.0
Belgium,2010,3052.1,1006.6,0.0,715.5,196.5,118.0,0.0,0.0,640.0,126.5,134.0,115.0,0.0,15743.5,1307.0,0.0,0.0,0.0,8269.0,5927.0,240.5,912.0
Belgium,2011,4197.6,1978.6,0.0,872.5,196.5,119.0,0.0,0.0,701.0,120.0,81.0,129.0,0.0,16491.0,1307.0,0.0,0.0,0.0,9023.0,5927.0,234.0,1069.0
Belgium,2012,5119.0,2646.6,0.0,985.9,381.0,120.0,0.0,0.0,678.0,111.5,55.0,141.0,0.0,15719.5,1307.0,0.0,0.0,0.0,8241.0,5927.0,244.5,1366.9
Belgium,2013,5754.1,2901.6,0.0,1061.3,707.7,119.0,0.0,0.0,640.0,123.5,50.0,151.0,0.0,15182.5,1307.0,0.0,0.0,0.0,7746.0,5927.0,202.5,1769.0
Belgium,2014,5981.95,3015.0,0.0,1225.0,707.7,121.0,0.0,0.0,557.6,123.65,51.0,181.0,0.0,14924.75,1307.0,0.0,0.0,0.0,7504.2,5927.0,186.55,1932.7
Belgium,2015,6368.1,3131.6,0.0,1469.3,712.0,112.0,0.0,0.0,591.3,124.2,48.8,178.9,0.0,14799.8,1307.0,0.0,0.0,0.0,7395.2,5913.0,184.6,2181.3
Belgium,2016,6695.05,3328.8,0.0,1621.6,712.2,109.1,0.0,0.0,566.3,124.65,44.9,187.5,0.0,14695.65,1307.0,0.0,0.0,0.0,7288.7,5913.0,186.95,2333.8
Belgium,2017,7419.3,3620.6,0.0,1902.2,877.2,107.0,0.0,0.0,559.2,125.3,45.3,182.5,0.0,14680.0,1307.0,0.0,0.0,0.0,7265.3,5918.0,189.7,2779.4
Belgium,2018,8299.6,4000.0,0.0,2119.0,1185.9,107.8,0.0,0.0,526.3,125.2,45.2,190.2,0.0,14426.7,1307.0,0.0,0.0,0.0,7013.3,5918.0,188.4,3304.9
Belgium,2019,9510.65,4636.6,0.0,2308.0,1555.5,104.1,0.0,0.0,539.2,125.75,44.9,196.6,0.0,14411.95,1307.0,0.0,0.0,0.0,6983.2,5930.0,191.75,3863.5
Belgium,2020,11273.05,5572.8,0.0,2410.9,2261.8,105.8,0.0,0.0,563.5,136.15,23.1,199.0,0.0,14415.05,1307.0,0.0,0.0,0.0,6974.4,5942.0,191.65,4672.700000000001
Belgium,2021,11888.4,6012.4,0.0,2686.6,2261.8,110.7,0.0,0.0,448.0,146.2,19.2,203.5,0.0,14329.7,1307.0,0.0,0.0,0.0,6969.6,5851.0,202.1,4948.4
Belgium,2022,13052.65,6756.1,0.0,3041.6,2261.8,123.3,0.0,0.0,488.6,146.75,29.9,204.6,0.0,13550.25,1307.0,0.0,0.0,0.0,7095.7,4845.0,302.55,5303.4
Belgium,2023,15046.8,8549.1,0.0,3241.75,2261.8,123.3,0.0,0.0,489.6,146.75,29.9,204.6,0.0,12530.25,1307.0,0.0,0.0,0.0,7083.7,3837.0,302.55,5503.55
