Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Chile,2000,4452.0,0.0,0.0,0.0,0.0,4430.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,5276.774,0.0,1980.24,573.019,2723.515,0.0,0.0,0.0,0.0
Chile,2001,4451.0,0.0,0.0,2.0,0.0,4427.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,5679.774,0.0,1980.24,574.844,3124.69,0.0,0.0,0.0,2.0
Chile,2002,4479.0,0.0,0.0,2.0,0.0,4455.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,5806.774,0.0,1980.24,598.844,3227.69,0.0,0.0,0.0,2.0
Chile,2003,4500.778,0.0,0.0,2.0,0.0,4466.0,0.0,0.0,32.778,0.0,0.0,0.0,0.0,6211.949,0.0,1980.24,598.844,3632.865,0.0,0.0,0.0,2.0
Chile,2004,5323.778,0.0,0.0,2.0,0.0,5222.0,0.0,0.0,99.778,0.0,0.0,0.0,0.0,6255.699,0.0,1980.24,642.594,3632.865,0.0,0.0,0.0,2.0
Chile,2005,5344.778,0.0,0.0,2.0,0.0,5224.0,0.0,0.0,118.778,0.0,0.0,0.0,0.0,6680.519,0.0,1980.24,749.714,3950.565,0.0,0.0,0.0,2.0
Chile,2006,5350.778,0.0,0.0,2.0,0.0,5230.0,0.0,0.0,118.778,0.0,0.0,0.0,0.0,6709.169,0.0,1980.24,765.514,3963.415,0.0,0.0,0.0,2.0
Chile,2007,5494.778,0.0,0.0,20.0,0.0,5356.0,0.0,0.0,118.778,0.0,0.0,0.0,0.0,7387.453,0.0,2134.24,1019.488,4233.725,0.0,0.0,0.0,20.0
Chile,2008,5621.997,0.0,0.0,20.0,0.0,5433.765,0.0,0.0,168.232,0.0,0.0,0.0,0.0,7738.225,0.0,2134.24,1217.8,4386.185,0.0,0.0,0.0,20.0
Chile,2009,6105.765,0.0,0.0,163.0,0.0,5452.765,0.0,0.0,490.0,0.0,0.0,0.0,0.0,9106.843,0.0,2134.24,2555.018,4392.585,0.0,0.0,25.0,163.0
Chile,2010,6160.965,0.0,0.0,163.0,0.0,5467.765,0.0,0.0,526.0,0.0,0.0,4.2,0.0,9674.681,0.0,2553.24,2702.956,4393.485,0.0,0.0,25.0,163.0
Chile,2011,6699.165,0.0,0.0,184.0,0.0,5946.765,0.0,0.0,548.0,0.0,0.0,20.4,0.0,10562.599,0.0,3437.093,2732.021,4393.485,0.0,0.0,0.0,184.0
Chile,2012,7054.165,2.0,0.0,202.0,0.0,5992.765,0.0,0.0,832.0,0.0,0.0,25.4,0.0,10626.834,0.0,3272.113,2811.793,4525.428,0.0,0.0,17.5,202.0
Chile,2013,7586.023,11.756,0.0,294.702,0.0,6012.054,0.0,0.0,1240.0,0.0,0.0,27.511,0.0,11066.361,0.0,4166.12,2796.39,4086.351,0.0,0.0,17.5,294.702
Chile,2014,8272.06,203.191,0.0,731.931,0.0,6410.938,0.0,0.0,884.0,0.0,0.0,42.0,0.0,11076.933,0.0,4166.24,2805.669,4087.524,0.0,0.0,17.5,731.931
Chile,2015,8412.355,545.133,0.0,906.898,0.0,6492.217,0.0,0.0,417.0,0.0,0.0,51.107,0.0,11339.875,0.0,4311.09,3690.281,3321.004,0.0,0.0,17.5,906.898
Chile,2016,9172.295,1049.672,0.0,1034.198,0.0,6625.425,0.0,0.0,410.0,0.0,0.0,53.0,0.0,12874.855,0.0,4782.27,3100.325,4974.76,0.0,0.0,17.5,1034.198
Chile,2017,10285.152,1829.305,0.0,1305.448,0.0,6645.355,0.0,0.0,444.0,0.0,0.0,61.044,0.0,12798.625,0.0,4808.71,2997.123,4975.292,0.0,0.0,17.5,1305.448
Chile,2018,10995.504,2293.953,0.0,1523.83,0.0,6634.017,0.0,0.0,444.0,0.0,0.0,60.004,39.7,12341.887,0.0,4804.706,3011.283,4507.478,0.0,0.0,18.42,1523.83
Chile,2019,11510.502,2673.279,0.0,1620.074,0.0,6679.966,0.0,0.0,441.627,0.0,0.0,55.856,39.7,12555.821,0.0,4825.13,3205.778,4506.493,0.0,0.0,18.42,1620.074
Chile,2020,13013.31,3228.602,0.0,2340.396,0.0,6934.296,0.0,0.0,410.316,0.0,0.0,60.0,39.7,12108.124,0.0,4477.804,3790.765,3821.135,0.0,0.0,18.42,2340.396
Chile,2021,14990.828,4408.007,108.27,3137.006,0.0,6806.873,0.0,0.0,430.0,0.0,0.0,60.972,39.7,12613.237,0.0,4641.274,4070.367,3883.176,0.0,0.0,18.42,3137.006
Chile,2022,18184.83,6417.035,108.27,3829.679,0.0,7288.834,0.0,0.0,428.695,0.0,0.0,60.917,51.4,12669.16,0.0,4629.508,4137.331,3883.901,0.0,0.0,18.42,3829.679
Chile,2023,21061.144,8366.447,108.27,4510.214,0.0,7471.231,0.0,0.0,461.695,0.0,0.0,59.917,83.37,12143.363,0.0,4209.826,4041.516,3873.601,0.0,0.0,18.42,4510.214
