Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Chinese Taipei,2000,2085.15,0.1,0.0,2.6,0.0,1820.0,0.0,0.0,85.1,177.35,0.0,0.0,0.0,32687.05,2602.0,13492.4,6266.1,5005.2,0.0,5144.0,177.35,2.6
Chinese Taipei,2001,2179.6,0.2,0.0,5.0,0.0,1820.0,0.0,0.0,90.6,263.8,0.0,0.0,0.0,33345.8,2602.0,13659.5,4553.6,7122.9,0.0,5144.0,263.8,5.0
Chinese Taipei,2002,2293.484,0.33,0.0,8.54,0.0,1908.75,0.0,0.0,119.659,256.205,0.0,0.0,0.0,35786.43,2602.0,15480.038,4593.137,7711.05,0.0,5144.0,256.205,8.54
Chinese Taipei,2003,2272.896,0.45,0.0,8.54,0.0,1908.75,0.0,0.0,98.951,256.205,0.0,0.0,0.0,37813.14,2602.0,16137.648,4571.837,9101.45,0.0,5144.0,256.205,8.54
Chinese Taipei,2004,2287.335,0.57,0.0,8.54,0.0,1909.73,0.0,0.0,97.59,270.905,0.0,0.0,0.0,39649.158,2602.0,16432.836,4577.967,10621.45,0.0,5144.0,270.905,8.54
Chinese Taipei,2005,2316.093,1.04,0.0,23.94,0.0,1909.73,0.0,0.0,89.502,291.881,0.0,0.0,0.0,40821.284,2602.0,17028.086,4605.667,11149.65,0.0,5144.0,291.881,23.94
Chinese Taipei,2006,2406.002,1.41,0.0,101.99,0.0,1909.73,0.0,0.0,88.141,304.731,0.0,0.0,0.0,42614.464,2602.0,18231.976,4548.307,11783.45,0.0,5144.0,304.731,101.99
Chinese Taipei,2007,2507.691,2.44,0.0,185.99,0.0,1921.25,0.0,0.0,86.78,311.231,0.0,0.0,0.0,43340.864,2602.0,17903.476,4575.707,12804.45,0.0,5144.0,311.231,185.99
Chinese Taipei,2008,2591.935,5.58,0.0,250.39,0.0,1937.954,0.0,0.0,86.78,311.231,0.0,0.0,0.0,43732.704,2602.0,17846.116,4553.907,13275.45,0.0,5144.0,311.231,250.39
Chinese Taipei,2009,2718.765,9.51,0.0,374.29,0.0,1936.954,0.0,0.0,86.78,311.231,0.0,0.0,0.0,45202.204,2602.0,17898.116,4481.407,14765.45,0.0,5144.0,311.231,374.29
Chinese Taipei,2010,2885.91,34.555,0.0,475.89,0.0,1977.454,0.0,0.0,86.78,311.231,0.0,0.0,0.0,45957.604,2602.0,17988.616,4185.107,15726.65,0.0,5144.0,311.231,475.89
Chinese Taipei,2011,3086.908,129.912,0.0,522.69,0.0,2040.754,0.0,0.0,81.336,312.216,0.0,0.0,0.0,45666.289,2602.0,17988.616,3884.107,15735.35,0.0,5144.0,312.216,522.69
Chinese Taipei,2012,3279.637,231.281,0.0,570.99,0.0,2081.464,0.0,0.0,81.336,314.566,0.0,0.0,0.0,45099.639,2602.0,17417.616,3886.107,15735.35,0.0,5144.0,314.566,570.99
Chinese Taipei,2013,3501.494,409.938,0.0,614.19,0.0,2081.464,0.0,0.0,81.336,314.566,0.0,0.0,0.0,45297.519,2602.0,17436.166,3875.037,15925.75,0.0,5144.0,314.566,614.19
Chinese Taipei,2014,3750.507,635.951,0.0,637.19,0.0,2081.464,0.0,0.0,81.336,314.566,0.0,0.0,0.0,44662.519,2602.0,16801.466,3832.137,15968.35,0.0,5144.0,314.566,637.19
Chinese Taipei,2015,4014.985,884.251,0.0,646.69,0.0,2089.464,0.0,0.0,78.814,314.566,0.0,1.2,0.0,44650.699,2602.0,16789.646,3832.137,15968.35,0.0,5144.0,314.566,646.69
Chinese Taipei,2016,4411.189,1245.055,0.0,682.09,0.0,2089.464,0.0,0.0,78.814,314.566,0.0,1.2,0.0,45168.399,2602.0,17609.646,3829.837,15668.35,0.0,5144.0,314.566,682.09
Chinese Taipei,2017,4944.136,1767.702,0.0,684.39,8.0,2089.464,0.0,0.0,78.814,314.566,0.0,1.2,0.0,44341.982,2602.0,18350.856,3026.01,14904.55,0.0,5144.0,314.566,692.39
Chinese Taipei,2018,5939.554,2738.119,0.0,705.151,8.0,2091.66,0.0,0.0,79.429,315.965,0.0,1.2,0.03,46726.438,2602.0,19325.146,3081.697,16893.63,0.0,4508.0,315.965,713.151
Chinese Taipei,2019,7480.219,4149.539,0.0,717.159,128.0,2092.66,0.0,0.0,75.396,315.965,0.0,1.2,0.3,48656.048,2602.0,21008.156,3071.697,17786.23,0.0,3872.0,315.965,845.159
Chinese Taipei,2020,9247.815,5817.205,0.0,809.115,128.0,2093.39,0.0,0.0,82.64,315.965,0.0,1.2,0.3,48572.048,2602.0,21008.156,2095.097,18678.83,0.0,3872.0,315.965,937.115
Chinese Taipei,2021,11239.866,7700.213,0.0,796.168,237.2,2093.937,0.0,0.0,90.683,315.965,0.0,1.2,4.5,49091.726,2602.0,20994.466,2091.615,19215.68,0.0,3872.0,315.965,1033.368
Chinese Taipei,2022,13815.902,9723.747,0.0,836.055,745.0,2097.98,0.0,0.0,90.506,315.965,0.0,1.2,5.449,48127.1,2602.0,20994.464,2105.991,19221.68,0.0,2887.0,315.965,1581.0549999999998
Chinese Taipei,2023,17600.374,12417.685,0.0,1104.822,1569.0,2103.654,0.0,0.0,80.759,315.965,0.0,1.2,7.289,46404.68,2602.0,20504.444,2107.451,18972.82,0.0,1902.0,315.965,2673.822
