Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Greece,2000,3299.0,0.0,0.0,226.0,0.0,2373.0,699.0,0.0,0.0,0.0,0.0,1.0,0.0,7605.0,0.0,0.0,0.0,0.0,7570.0,0.0,35.0,226.0
Greece,2001,3369.0,1.0,0.0,270.0,0.0,2377.0,699.0,0.0,0.0,0.0,0.0,22.0,0.0,7623.0,0.0,0.0,0.0,0.0,7599.0,0.0,24.0,270.0
Greece,2002,3388.0,1.0,0.0,287.0,0.0,2379.0,699.0,0.0,0.0,0.0,0.0,22.0,0.0,8188.0,0.0,0.0,0.0,0.0,8164.0,0.0,24.0,287.0
Greece,2003,3473.0,1.0,0.0,371.0,0.0,2380.0,699.0,0.0,0.0,0.0,0.0,22.0,0.0,8607.0,0.0,0.0,0.0,0.0,8583.0,0.0,24.0,371.0
Greece,2004,3594.0,1.0,0.0,470.0,0.0,2400.0,699.0,0.0,0.0,0.0,0.0,24.0,0.0,8837.0,0.0,0.0,0.0,0.0,8813.0,0.0,24.0,470.0
Greece,2005,3622.0,1.0,0.0,491.0,0.0,2407.0,699.0,0.0,0.0,0.0,0.0,24.0,0.0,9684.0,0.0,0.0,0.0,0.0,9660.0,0.0,24.0,491.0
Greece,2006,3912.0,5.0,0.0,749.0,0.0,2435.0,699.0,0.0,0.0,0.0,0.0,24.0,0.0,9658.0,0.0,0.0,0.0,0.0,9648.0,0.0,10.0,749.0
Greece,2007,4044.0,9.0,0.0,846.0,0.0,2451.0,699.0,0.0,0.0,0.0,0.0,39.0,0.0,9642.0,0.0,0.0,0.0,0.0,9605.0,0.0,37.0,846.0
Greece,2008,4250.0,12.0,0.0,1022.0,0.0,2477.0,699.0,0.0,0.0,0.0,0.0,40.0,0.0,10003.0,0.0,0.0,0.0,0.0,9960.0,0.0,43.0,1022.0
Greece,2009,4458.0,46.0,0.0,1171.0,0.0,2502.0,699.0,0.0,0.0,0.0,0.0,40.0,0.0,10169.0,0.0,0.0,0.0,0.0,10126.0,0.0,43.0,1171.0
Greece,2010,4756.0,202.0,0.0,1298.0,0.0,2516.0,699.0,0.0,0.0,0.0,0.0,41.0,0.0,10556.0,0.0,0.0,0.0,0.0,10513.0,0.0,43.0,1298.0
Greece,2011,5521.0,612.0,0.0,1640.0,0.0,2525.0,699.0,0.0,0.0,0.0,0.0,45.0,0.0,11003.0,0.0,0.0,0.0,0.0,10960.0,0.0,43.0,1640.0
Greece,2012,6570.0,1536.0,0.0,1753.0,0.0,2537.0,699.0,0.0,0.0,0.0,0.0,45.0,0.0,11181.0,0.0,0.0,0.0,0.0,11138.0,0.0,43.0,1753.0
Greece,2013,7672.0,2579.0,0.0,1809.0,0.0,2539.0,699.0,0.0,0.0,0.0,0.0,46.0,0.0,11183.0,0.0,0.0,0.0,0.0,11140.0,0.0,43.0,1809.0
Greece,2014,8010.0,2596.0,0.0,1978.0,0.0,2690.0,699.0,0.0,0.0,0.0,0.0,47.0,0.0,10885.0,0.0,0.0,0.0,0.0,10842.0,0.0,43.0,1978.0
Greece,2015,8138.0,2604.0,0.0,2091.0,0.0,2693.0,699.0,0.0,2.0,0.0,0.0,49.0,0.0,10804.0,0.0,0.0,0.0,0.0,10761.0,0.0,43.0,2091.0
Greece,2016,8424.0,2604.0,0.0,2370.0,0.0,2693.0,699.0,0.0,2.0,0.0,0.0,56.0,0.0,10741.0,0.0,0.0,0.0,0.0,10698.0,0.0,43.0,2370.0
Greece,2017,8685.61,2605.53,0.0,2624.0,0.0,2693.0,699.0,0.0,2.56,0.0,0.0,61.52,0.0,10740.04,0.0,0.0,0.0,0.0,10697.04,0.0,43.0,2624.0
Greece,2018,9019.556,2651.031,0.0,2877.495,0.0,2710.0,699.0,0.0,11.88,0.0,0.0,70.15,0.0,10561.28,0.0,0.0,0.0,0.0,10518.28,0.0,43.0,2877.495
Greece,2019,9922.671,2833.798,0.0,3589.0,0.0,2713.0,699.0,0.0,13.113,0.0,0.0,74.76,0.0,10555.437,0.0,0.0,0.0,0.0,10512.437,0.0,43.0,3589.0
Greece,2020,10921.373,3287.715,0.0,4119.25,0.0,2718.0,699.0,0.0,14.111,0.0,0.0,83.297,0.0,9873.902,0.0,0.0,0.0,0.0,9830.902,0.0,43.0,4119.25
Greece,2021,12456.057,4277.42,0.0,4649.13,0.0,2722.0,699.0,0.0,16.109,0.0,0.0,92.398,0.0,9472.803,0.0,0.0,0.0,0.0,9429.803,0.0,43.0,4649.13
Greece,2022,13680.937,5430.083,0.0,4702.33,0.0,2722.0,699.0,0.0,16.37,0.0,0.0,111.154,0.0,10259.786,0.0,0.0,0.0,0.0,10216.786,0.0,43.0,4702.33
Greece,2023,15804.937,7030.083,0.0,5220.33,0.0,2728.0,699.0,0.0,16.37,0.0,0.0,111.154,0.0,10259.786,0.0,0.0,0.0,0.0,10216.786,0.0,43.0,5220.33
