Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Mexico,2000,10856.0,14.0,0.0,17.0,0.0,9653.0,0.0,0.0,321.0,0.0,0.0,8.0,843.0,29420.0,0.0,3855.0,15878.0,8379.0,0.0,1308.0,0.0,17.0
Mexico,2001,10998.0,15.0,0.0,17.0,0.0,9653.0,0.0,0.0,462.0,0.0,0.0,8.0,843.0,31464.0,0.0,3855.0,15147.5,11153.5,0.0,1308.0,0.0,17.0
Mexico,2002,11006.0,16.0,0.0,18.0,0.0,9649.0,0.0,0.0,462.0,0.0,0.0,8.0,853.0,34663.0,0.0,3855.0,14802.0,14698.0,0.0,1308.0,0.0,18.0
Mexico,2003,11121.0,16.0,0.0,18.0,0.0,9658.0,0.0,0.0,462.0,0.0,0.0,14.0,953.0,38521.0,0.0,3855.0,14823.5,18534.5,0.0,1308.0,0.0,18.0
Mexico,2004,12042.0,16.0,0.0,18.0,0.0,10573.0,0.0,0.0,473.0,0.0,0.0,9.0,953.0,40162.0,0.0,3855.0,14543.5,20455.5,0.0,1308.0,0.0,18.0
Mexico,2005,12068.0,16.0,0.0,18.0,0.0,10598.0,0.0,0.0,473.0,0.0,0.0,10.0,953.0,40365.0,0.0,3862.5,13882.5,21312.0,0.0,1308.0,0.0,18.0
Mexico,2006,12353.0,16.0,0.0,101.0,0.0,10800.0,0.0,0.0,473.0,0.0,0.0,10.0,953.0,42935.0,0.0,3862.5,14923.0,22841.5,0.0,1308.0,0.0,101.0
Mexico,2007,13139.0,19.0,0.0,101.0,0.0,11577.0,0.0,0.0,473.0,0.0,0.0,11.0,958.0,44641.0,0.0,3930.5,15490.5,23912.0,0.0,1308.0,0.0,101.0
Mexico,2008,12915.0,19.0,0.0,101.0,0.0,11433.0,0.0,0.0,389.0,0.0,0.0,15.0,958.0,45287.0,0.0,3930.5,15805.0,24243.5,0.0,1308.0,0.0,101.0
Mexico,2009,13207.15,25.15,0.0,425.0,0.0,11474.0,0.0,0.0,301.0,7.0,0.0,17.0,958.0,46303.0,0.0,3930.5,16056.0,25001.5,0.0,1308.0,7.0,425.0
Mexico,2010,13441.81,29.81,0.0,519.0,0.0,11597.0,0.0,0.0,384.0,8.0,0.0,21.0,883.0,48115.61,0.0,4265.0,16480.5,25747.5,0.0,1608.0,14.61,519.0
Mexico,2011,13420.906,42.4,0.0,601.0,0.0,11571.0,0.0,0.0,351.213,15.5,0.0,31.793,808.0,48803.11,0.0,4289.5,16636.0,26247.5,0.0,1608.0,22.11,601.0
Mexico,2012,14831.944,72.8,0.0,1815.0,0.0,11626.0,0.0,0.0,406.348,41.5,0.0,37.296,833.0,49492.11,0.0,4411.5,16763.5,26661.0,0.0,1608.0,48.11,1815.0
Mexico,2013,15263.7,109.0,0.0,2122.0,0.0,11633.0,0.0,0.0,478.36,27.0,0.0,36.34,858.0,49118.61,0.0,4344.5,16823.5,26309.0,0.0,1608.0,33.61,2122.0
Mexico,2014,16702.158,174.34,0.0,2569.0,0.0,12464.0,0.0,0.0,569.597,21.0,0.0,36.221,868.0,49880.61,0.0,4373.0,17174.0,26698.0,0.0,1608.0,27.61,2569.0
Mexico,2015,17415.318,287.0,0.0,3271.0,0.0,12223.0,0.0,0.0,685.597,14.5,0.0,36.221,898.0,50298.11,0.0,4372.5,17136.0,27160.5,0.0,1608.0,21.11,3271.0
Mexico,2016,19111.966,632.6,0.0,4051.0,0.0,12580.0,0.0,0.0,796.607,81.0,0.0,47.259,923.5,53739.61,0.0,4553.0,18139.5,29351.5,0.0,1608.0,87.61,4051.0
Mexico,2017,19855.918,1125.74,0.0,4180.39,0.0,12628.0,0.0,0.0,817.226,99.5,0.0,56.562,948.5,55035.11,0.0,4695.5,18543.0,30082.5,0.0,1608.0,106.11,4180.39
Mexico,2018,21310.897,2566.805,16.0,4180.26,0.0,12628.0,0.0,0.0,816.812,99.5,0.0,55.02,948.5,66270.11,0.0,5763.0,21422.0,33758.0,0.0,1608.0,3719.11,4180.26
Mexico,2019,26306.176,4727.084,17.0,6541.26,0.0,13076.0,0.0,0.0,816.812,99.5,0.0,55.02,973.5,67966.11,0.0,6001.0,22001.0,34452.0,0.0,1608.0,3904.11,6541.26
Mexico,2020,28955.397,6694.574,17.0,6995.43,0.0,13301.0,0.0,0.0,817.354,99.5,0.0,57.039,973.5,67966.11,0.0,6001.0,22001.0,34452.0,0.0,1608.0,3904.11,6995.43
Mexico,2021,30617.636,8162.916,17.0,7154.53,0.0,13303.0,0.0,0.0,817.96,99.5,0.0,64.23,998.5,69841.11,0.0,6001.0,22184.0,36144.0,0.0,1608.0,3904.11,7154.53
Mexico,2022,31949.646,9346.756,17.0,7317.66,0.0,13304.0,0.0,0.0,818.02,99.5,0.0,48.21,998.5,70494.61,0.0,6001.0,22111.0,36870.5,0.0,1608.0,3904.11,7317.66
Mexico,2023,33517.446,10893.136,17.0,7317.68,0.0,13304.0,0.0,0.0,818.02,99.5,0.0,69.61,998.5,70421.61,0.0,6001.0,22038.0,36870.5,0.0,1608.0,3904.11,7317.68
