Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Netherlands (Kingdom of the),2000,787.461,13.0,0.0,447.0,0.0,37.0,0.0,0.0,34.461,197.0,0.0,59.0,0.0,20274.539,0.0,0.0,0.0,0.0,19582.539,449.0,243.0,447.0
Netherlands (Kingdom of the),2001,838.041,21.0,0.0,486.0,0.0,37.0,0.0,0.0,36.041,197.0,0.0,61.0,0.0,19544.959,0.0,0.0,0.0,0.0,18852.959,449.0,243.0,486.0
Netherlands (Kingdom of the),2002,1034.134,26.0,0.0,672.0,0.0,37.0,0.0,0.0,36.134,197.0,0.0,66.0,0.0,19843.866,0.0,0.0,0.0,0.0,19138.866,449.0,256.0,672.0
Netherlands (Kingdom of the),2003,1288.887,46.0,0.0,905.0,0.0,37.0,0.0,0.0,35.887,200.0,0.0,65.0,0.0,19636.113,0.0,0.0,0.0,0.0,18920.113,449.0,267.0,905.0
Netherlands (Kingdom of the),2004,1457.942,50.0,0.0,1075.0,0.0,37.0,0.0,0.0,36.942,200.0,0.0,59.0,0.0,20378.058,0.0,0.0,0.0,0.0,19657.058,449.0,272.0,1075.0
Netherlands (Kingdom of the),2005,1634.18,51.0,0.0,1224.0,0.0,37.0,0.0,0.0,39.68,214.5,0.0,68.0,0.0,20165.82,0.0,0.0,0.0,0.0,19430.32,449.0,286.5,1224.0
Netherlands (Kingdom of the),2006,1994.495,53.0,0.0,1453.0,108.0,37.0,0.0,0.0,39.995,214.5,0.0,89.0,0.0,20986.505,0.0,0.0,0.0,0.0,20190.005,510.0,286.5,1561.0
Netherlands (Kingdom of the),2007,2321.972,54.0,0.0,1641.0,108.0,37.0,0.0,0.0,94.172,253.0,10.8,124.0,0.0,21482.028,0.0,0.0,0.0,0.0,20647.028,510.0,325.0,1749.0
Netherlands (Kingdom of the),2008,2836.583,59.0,0.0,1921.0,228.0,37.0,0.0,0.0,154.923,253.0,16.66,167.0,0.0,22040.417,0.0,0.0,0.0,0.0,21205.417,510.0,325.0,2149.0
Netherlands (Kingdom of the),2009,2959.801,69.0,0.0,1994.0,228.0,37.0,0.0,0.0,156.141,273.0,16.66,186.0,0.0,23033.199,0.0,0.0,0.0,0.0,22178.199,510.0,345.0,2222.0
