Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Norway,2000,28193.0,6.0,0.0,13.0,0.0,26766.0,1360.0,0.0,35.0,13.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,209.0,0.0,13.0,13.0
Norway,2001,27746.0,6.0,0.0,13.0,0.0,26319.0,1360.0,0.0,35.0,13.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,202.0,0.0,18.0,13.0
Norway,2002,28124.5,6.0,0.0,97.0,0.0,26604.0,1309.0,0.0,101.0,7.5,0.0,0.0,0.0,157.5,0.0,0.0,0.0,0.0,116.0,0.0,41.5,97.0
Norway,2003,28213.0,7.0,0.0,97.0,0.0,26947.0,1042.0,0.0,107.0,13.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,110.0,0.0,46.0,97.0
Norway,2004,28297.0,7.0,0.0,152.0,0.0,26721.0,1309.0,0.0,95.0,13.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,134.0,0.0,46.0,152.0
Norway,2005,28913.0,7.0,0.0,265.0,0.0,27222.0,1327.0,0.0,79.0,13.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,163.0,0.0,46.0,265.0
Norway,2006,29109.0,8.0,0.0,284.0,0.0,27398.0,1327.0,0.0,79.0,13.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,146.0,0.0,53.0,284.0
Norway,2007,29419.5,8.0,0.0,348.0,0.0,27647.0,1310.0,0.0,79.0,12.5,0.0,15.0,0.0,596.5,0.0,0.0,0.0,0.0,544.0,0.0,52.5,348.0
Norway,2008,29925.8,8.3,0.0,395.0,0.0,28062.0,1351.0,0.0,79.0,15.5,0.0,15.0,0.0,639.5,0.0,0.0,0.0,0.0,584.0,0.0,55.5,395.0
Norway,2009,30082.2,8.7,0.0,420.7,2.3,28188.0,1351.0,0.0,79.0,17.5,0.0,15.0,0.0,1181.5,0.0,0.0,0.0,0.0,1124.0,0.0,57.5,423.0
Norway,2010,30250.1,9.1,0.0,422.7,2.3,28367.0,1326.0,1.5,79.0,29.5,0.0,13.0,0.0,1448.5,0.0,0.0,0.0,0.0,1384.0,0.0,64.5,425.0
Norway,2011,30631.5,9.5,0.0,509.7,2.3,28618.0,1351.0,1.5,79.0,43.5,0.0,17.0,0.0,1461.5,0.0,0.0,0.0,0.0,1383.0,0.0,78.5,512.0
Norway,2012,31365.0,10.0,0.0,702.7,2.3,29158.0,1351.0,1.5,79.0,43.5,0.0,17.0,0.0,1506.5,0.0,0.0,0.0,0.0,1428.0,0.0,78.5,705.0
Norway,2013,32001.7,11.0,0.0,815.7,2.3,29682.0,1351.0,0.2,79.0,43.5,0.0,17.0,0.0,1495.5,0.0,0.0,0.0,0.0,1417.0,0.0,78.5,818.0
Norway,2014,32251.7,13.0,0.0,856.7,2.3,29889.0,1351.0,0.2,79.0,43.5,0.0,17.0,0.0,1458.5,0.0,0.0,0.0,0.0,1380.0,0.0,78.5,859.0
Norway,2015,32393.7,15.0,0.0,864.7,2.3,29939.0,1433.0,0.2,79.0,43.5,0.0,17.0,0.0,1458.5,0.0,0.0,0.0,0.0,1380.0,0.0,78.5,867.0
Norway,2016,32813.9,26.7,0.0,880.7,2.3,30281.0,1536.0,0.2,27.0,50.0,0.0,10.0,0.0,1021.0,0.0,0.0,0.0,0.0,936.0,0.0,85.0,883.0
Norway,2017,33251.1,44.9,0.0,1204.7,2.3,30382.0,1530.0,0.2,27.0,50.0,0.0,10.0,0.0,1022.0,0.0,0.0,0.0,0.0,937.0,0.0,85.0,1207.0
Norway,2018,34395.605,68.405,0.0,1707.7,2.3,31120.0,1410.0,0.2,27.0,50.0,0.0,10.0,0.0,1021.0,0.0,0.0,0.0,0.0,936.0,0.0,85.0,1710.0
Norway,2019,35911.526,119.826,0.0,2911.7,2.3,31387.0,1410.0,0.2,27.0,46.5,0.0,7.0,0.0,1028.5,0.0,0.0,0.0,0.0,947.0,0.0,81.5,2914.0
Norway,2020,37998.525,159.825,0.0,4027.7,2.3,32285.3,1446.7,0.2,20.0,45.5,0.0,11.0,0.0,1027.5,0.0,0.0,0.0,0.0,947.0,0.0,80.5,4030.0
Norway,2021,39406.476,205.326,0.0,5046.7,2.3,32628.3,1446.7,0.2,27.0,43.05,0.0,6.9,0.0,900.724,0.0,0.0,0.0,0.0,768.674,0.0,132.05,5049.0
Norway,2022,39766.176,358.026,0.0,5059.7,2.3,32822.3,1446.7,0.2,27.0,43.05,0.0,6.9,0.0,720.724,0.0,0.0,0.0,0.0,588.674,0.0,132.05,5062.0
Norway,2023,40160.942,615.792,0.0,5062.7,2.3,32954.3,1446.7,0.2,27.0,45.05,0.0,6.9,0.0,734.724,0.0,0.0,0.0,0.0,602.674,0.0,132.05,5065.0
