Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Poland,2000,837.0,0.0,0.0,4.0,0.0,509.0,308.0,0.0,7.0,0.0,0.0,9.0,0.0,29729.0,1366.0,0.0,0.0,0.0,28363.0,0.0,0.0,4.0
Poland,2001,914.0,0.0,0.0,19.0,0.0,517.0,351.0,0.0,15.0,0.0,0.0,12.0,0.0,29774.0,1366.0,0.0,0.0,0.0,28408.0,0.0,0.0,19.0
Poland,2002,902.0,0.0,0.0,32.0,0.0,517.0,324.0,0.0,15.0,0.0,0.0,14.0,0.0,29928.0,1366.0,0.0,0.0,0.0,28562.0,0.0,0.0,32.0
Poland,2003,943.0,0.0,0.0,35.0,0.0,524.0,343.0,0.0,24.0,0.0,0.0,17.0,0.0,30699.0,1406.0,0.0,0.0,0.0,29293.0,0.0,0.0,35.0
Poland,2004,964.0,0.0,0.0,40.0,0.0,535.0,341.0,0.0,24.0,0.0,0.0,24.0,0.0,30924.0,1406.0,0.0,0.0,0.0,29488.0,0.0,30.0,40.0
Poland,2005,1091.0,0.0,0.0,121.0,0.0,542.0,373.0,0.0,25.0,0.0,0.0,30.0,0.0,31166.0,1406.0,0.0,0.0,0.0,29722.0,0.0,38.0,121.0
Poland,2006,1154.0,0.0,0.0,172.0,0.0,549.0,376.0,0.0,25.0,0.0,0.0,32.0,0.0,31206.0,1406.0,0.0,0.0,0.0,29762.0,0.0,38.0,172.0
Poland,2007,1301.0,0.0,0.0,306.0,0.0,546.0,376.0,0.0,33.0,0.0,0.0,40.0,0.0,31196.0,1406.0,0.0,0.0,0.0,29758.0,0.0,32.0,306.0
Poland,2008,1547.0,0.0,0.0,526.0,0.0,553.0,376.0,0.0,40.0,0.0,0.0,52.0,0.0,31130.0,1406.0,0.0,0.0,0.0,29722.0,0.0,2.0,526.0
Poland,2009,1751.4,0.0,0.0,709.0,0.0,556.0,376.0,0.0,42.0,0.0,0.4,68.0,0.0,31281.0,1406.0,0.0,0.0,0.0,29873.0,0.0,2.0,709.0
Poland,2010,2178.4,0.0,0.0,1108.0,0.0,560.0,376.0,0.0,53.0,0.0,0.4,81.0,0.0,31182.0,1406.0,0.0,0.0,0.0,29774.0,0.0,2.0,1108.0
Poland,2011,3018.51,1.11,0.0,1800.0,0.0,564.0,376.0,0.0,175.0,0.0,0.4,102.0,0.0,31536.0,1406.0,0.0,0.0,0.0,30128.0,0.0,2.0,1800.0
Poland,2012,4093.7,1.3,0.0,2564.0,0.0,569.0,376.0,0.0,455.0,0.0,0.4,128.0,0.0,31190.0,1406.0,0.0,0.0,0.0,29782.0,0.0,2.0,2564.0
Poland,2013,5115.793,2.393,0.0,3429.0,0.0,573.0,376.0,0.0,582.0,0.0,0.4,153.0,0.0,30700.0,1406.0,0.0,0.0,0.0,29292.0,0.0,2.0,3429.0
Poland,2014,5637.55,27.15,0.0,3836.0,0.0,582.0,376.0,0.0,629.0,0.0,0.4,187.0,0.0,30352.0,1406.0,0.0,0.0,0.0,28944.0,0.0,2.0,3836.0
Poland,2015,6918.677,107.777,0.0,4886.0,0.0,588.0,376.0,0.0,737.0,7.5,0.4,216.0,0.0,30408.5,1406.0,0.0,0.0,0.0,28993.0,0.0,9.5,4886.0
Poland,2016,7880.647,187.247,0.0,5747.0,0.0,596.0,376.0,0.0,727.0,22.0,0.4,225.0,0.0,30224.0,1413.0,0.0,0.0,0.0,28787.0,0.0,24.0,5747.0
Poland,2017,7981.5,287.091,0.0,5759.357,0.0,591.109,375.95,0.0,708.769,29.6,0.4,229.224,0.0,34869.511,1423.0,0.0,0.0,0.0,33414.511,0.0,32.0,5759.357
Poland,2018,8300.628,561.976,0.0,5766.078,0.0,592.318,375.95,0.0,735.159,43.296,0.4,225.451,0.0,34745.549,1423.0,0.0,0.0,0.0,33266.853,0.0,55.696,5766.078
Poland,2019,9361.375,1539.259,0.0,5837.761,0.0,598.062,375.95,0.0,731.78,45.3,0.4,232.863,0.0,34079.446,1423.0,0.0,0.0,0.0,32583.246,0.0,73.2,5837.761
Poland,2020,12275.168,3954.963,0.0,6298.25,0.0,600.652,375.95,0.0,734.201,49.75,0.4,261.002,0.0,37093.496,1423.0,0.0,0.0,0.0,35620.346,0.0,50.15,6298.25
Poland,2021,16457.093,7415.518,0.0,6967.339,0.0,598.598,375.95,0.0,803.185,45.3,0.4,250.803,0.0,36377.363,1423.0,0.0,0.0,0.0,34908.663,0.0,45.7,6967.339
Poland,2022,22521.933,12170.392,0.0,8150.235,0.0,607.899,375.95,0.0,894.193,45.3,0.4,277.564,0.0,33297.95,1423.0,0.0,0.0,0.0,31829.25,0.0,45.7,8150.235
Poland,2023,27330.933,15809.392,0.0,9307.235,0.0,606.899,375.95,0.0,894.193,45.3,0.4,291.564,0.0,34535.95,1423.0,0.0,0.0,0.0,32853.25,0.0,259.7,9307.235
