Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Portugal,2000,4885.0,1.0,0.0,83.0,0.0,3918.0,617.0,0.0,219.0,32.0,0.0,1.0,14.0,6023.0,0.0,0.0,0.0,0.0,5991.0,0.0,32.0,83.0
Portugal,2001,4947.0,1.0,0.0,125.0,0.0,3943.0,617.0,0.0,214.0,32.0,0.0,1.0,14.0,6044.0,0.0,0.0,0.0,0.0,6012.0,0.0,32.0,125.0
Portugal,2002,5057.5,1.0,0.0,190.0,0.0,3966.0,617.0,0.0,233.0,35.5,0.0,1.0,14.0,6178.5,0.0,0.0,0.0,0.0,6143.0,0.0,35.5,190.0
Portugal,2003,5127.5,2.0,0.0,268.0,0.0,3966.0,617.0,0.0,224.0,35.5,0.0,1.0,14.0,6488.5,0.0,0.0,0.0,0.0,6450.0,0.0,38.5,268.0
Portugal,2004,5665.5,2.0,0.0,553.0,0.0,3974.0,857.0,0.0,224.0,35.5,0.0,6.0,14.0,7026.5,0.0,0.0,0.0,0.0,6988.0,0.0,38.5,553.0
Portugal,2005,6416.5,2.0,0.0,1064.0,0.0,3968.1,1048.9,0.0,273.0,38.5,0.0,8.0,14.0,6957.5,0.0,0.0,0.0,0.0,6915.0,0.0,42.5,1064.0
Portugal,2006,7087.5,3.0,0.0,1681.0,0.0,4004.1,1048.9,0.0,279.0,38.5,0.0,8.0,25.0,7359.5,0.0,0.0,0.0,0.0,7318.0,0.0,41.5,1681.0
Portugal,2007,7652.5,24.0,0.0,2201.0,0.0,4012.1,1048.9,0.0,290.0,38.5,0.0,13.0,25.0,7350.5,0.0,0.0,0.0,0.0,7309.0,0.0,41.5,2201.0
Portugal,2008,8343.5,59.0,0.0,2857.0,0.0,4009.1,1048.9,0.0,293.0,38.5,0.0,13.0,25.0,7422.5,0.0,0.0,0.0,0.0,7381.0,0.0,41.5,2857.0
Portugal,2009,8957.5,115.0,0.0,3326.0,0.0,4042.1,1048.9,0.0,342.0,38.5,0.0,20.0,25.0,8445.5,0.0,0.0,0.0,0.0,8404.0,0.0,41.5,3326.0
Portugal,2010,9606.5,134.0,0.0,3796.0,0.0,4057.1,1048.9,0.0,482.0,38.5,0.0,25.0,25.0,9325.5,0.0,0.0,0.0,0.0,9275.0,0.0,50.5,3796.0
Portugal,2011,10548.215,172.0,0.0,4254.355,1.86,4490.3,1044.7,0.0,478.0,38.0,0.0,44.0,25.0,9376.0,0.0,0.0,0.0,0.0,9323.0,0.0,53.0,4256.214999999999
Portugal,2012,10954.852,238.0,0.0,4409.552,2.0,4413.9,1298.1,0.3,479.0,38.0,0.0,51.0,25.0,8792.0,0.0,0.0,0.0,0.0,8739.0,0.0,53.0,4411.552
Portugal,2013,11143.249,296.0,0.0,4607.949,2.0,4362.9,1298.1,0.3,458.0,38.0,0.0,55.0,25.0,7757.0,0.0,0.0,0.0,0.0,7704.0,0.0,53.0,4609.949
Portugal,2014,11573.056,415.0,0.0,4854.556,2.0,4368.0,1347.0,1.0,456.0,38.5,0.0,66.0,25.0,7552.5,0.0,0.0,0.0,0.0,7499.0,0.0,53.5,4856.556
Portugal,2015,12153.338,447.0,0.0,4934.838,2.0,4446.0,1722.0,0.0,471.0,39.5,0.0,66.0,25.0,7471.5,0.0,0.0,0.0,0.0,7429.0,0.0,42.5,4936.838
Portugal,2016,13208.427,512.824,0.0,5124.103,0.0,4458.3,2501.7,0.0,477.0,41.5,0.0,68.0,25.0,7403.5,0.0,0.0,0.0,0.0,7359.0,0.0,44.5,5124.103
Portugal,2017,13540.959,579.236,0.0,5124.105,0.0,4461.522,2764.4,0.4,471.211,40.907,0.0,70.078,29.1,7392.341,0.0,0.0,0.0,0.0,7348.034,0.0,44.307,5124.105
Portugal,2018,13753.195,667.431,0.0,5172.359,0.0,4471.433,2764.4,0.4,535.932,40.907,0.0,71.233,29.1,7432.366,0.0,0.0,0.0,0.0,7388.059,0.0,44.307,5172.359
Portugal,2019,14117.766,901.438,0.0,5222.745,0.0,4497.585,2764.4,0.0,589.571,40.907,0.0,72.02,29.1,7457.506,0.0,0.0,0.0,0.0,7413.199,0.0,44.307,5222.745
Portugal,2020,14207.575,1100.292,0.0,5097.26,24.999,4476.406,2764.4,0.0,602.968,40.907,0.0,71.243,29.1,7447.4,0.0,0.0,0.0,0.0,7403.093,0.0,44.307,5122.259
Portugal,2021,15074.09,1645.994,0.0,5402.327,24.999,4490.502,2764.4,0.0,602.968,40.907,0.0,72.893,29.1,6270.161,0.0,0.0,0.0,0.0,6225.854,0.0,44.307,5427.326
Portugal,2022,17108.528,2646.256,0.0,5513.14,24.999,4541.37,3647.22,0.0,592.903,40.907,0.0,72.633,29.1,5480.691,0.0,0.0,0.0,0.0,5437.249,0.0,43.442,5538.139
Portugal,2023,18414.528,3876.256,0.0,5592.14,24.999,4540.37,3647.22,0.0,592.903,39.907,0.0,71.633,29.1,5328.691,0.0,0.0,0.0,0.0,5285.249,0.0,43.442,5617.139
