Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Republic of Korea (the),2000,1613.5,4.0,0.0,7.0,0.0,1549.0,0.0,0.0,48.0,5.5,0.0,0.0,0.0,52079.5,1600.0,12832.0,8525.0,6403.0,8998.0,13716.0,5.5,7.0
Republic of Korea (the),2001,1691.5,5.0,0.0,11.0,0.0,1614.0,0.0,0.0,54.0,6.5,0.0,1.0,0.0,55071.5,2300.0,14343.0,8959.0,6415.0,9332.0,13716.0,6.5,11.0
Republic of Korea (the),2002,1663.5,5.0,0.0,13.0,0.0,1576.0,0.0,0.0,43.0,14.5,0.0,12.0,0.0,57287.5,2300.0,14830.0,8250.0,1639.0,14534.0,15716.0,18.5,13.0
Republic of Korea (the),2003,1662.0,6.0,0.0,19.0,0.0,1577.0,0.0,0.0,17.0,16.0,0.0,27.0,0.0,59017.0,2300.0,15219.0,9776.0,1827.0,14155.0,15716.0,24.0,19.0
Republic of Korea (the),2004,1678.0,9.0,0.0,29.0,0.0,1579.0,0.0,0.0,17.0,16.0,0.0,28.0,0.0,62854.0,2300.0,18115.0,7293.0,2610.0,15772.0,16716.0,48.0,29.0
Republic of Korea (the),2005,1761.0,14.0,0.0,99.0,0.0,1583.0,0.0,0.0,17.0,18.0,0.0,30.0,0.0,64776.0,2300.0,19739.0,7042.0,17027.0,1469.0,17176.0,23.0,99.0
Republic of Korea (the),2006,1915.5,36.0,0.0,178.0,0.0,1585.0,0.0,0.0,17.0,19.5,0.0,80.0,0.0,68165.5,3900.0,20516.0,6904.0,18051.0,1054.0,17716.0,24.5,178.0
Republic of Korea (the),2007,1980.0,81.0,0.0,196.0,0.0,1592.0,0.0,0.0,6.0,19.0,0.0,86.0,0.0,71393.0,3900.0,22847.0,7298.0,18445.0,1163.0,17716.0,24.0,196.0
Republic of Korea (the),2008,2380.5,357.0,0.0,304.0,0.0,1605.0,0.0,0.0,10.0,18.5,0.0,86.0,0.0,77478.5,3900.0,26276.0,7131.0,21273.0,1157.0,17716.0,25.5,304.0
Republic of Korea (the),2009,2607.5,524.0,0.0,351.0,0.0,1615.0,0.0,1.0,10.0,18.5,0.0,88.0,0.0,78003.5,3900.0,26718.0,7522.0,19601.0,2500.0,17716.0,46.5,351.0
Republic of Korea (the),2010,2818.5,650.0,0.0,382.0,0.0,1625.0,0.0,1.0,46.0,19.5,0.0,95.0,0.0,81881.5,3900.0,28286.0,6852.0,23895.0,1133.0,17716.0,99.5,382.0
Republic of Korea (the),2011,3321.7,730.0,0.2,425.0,0.0,1718.0,0.0,255.0,46.0,40.5,0.0,107.0,0.0,81767.5,4700.0,28798.0,6769.0,22438.0,0.0,18716.0,346.5,425.0
Republic of Korea (the),2012,3687.2,1024.0,0.2,459.0,5.0,1747.0,0.0,255.0,46.0,43.0,0.0,108.0,0.0,84483.0,4700.0,29125.0,6983.0,22658.0,0.0,20716.0,301.0,464.0
Republic of Korea (the),2013,4329.7,1555.0,0.2,571.0,5.0,1752.0,0.0,255.0,55.0,37.5,0.0,99.0,0.0,87148.5,4700.0,29301.0,5843.0,26302.0,17.0,20716.0,269.5,576.0
Republic of Korea (the),2014,5854.7,2620.0,0.2,601.5,10.5,1767.0,0.0,255.0,74.0,49.5,356.0,121.0,0.0,94286.5,4700.0,32555.0,4780.0,31214.0,0.0,20716.0,321.5,612.0
Republic of Korea (the),2015,7446.7,3845.0,0.2,836.5,10.5,1771.0,0.0,255.0,160.0,94.5,361.0,113.0,0.0,96334.5,4700.0,33587.0,1866.0,34077.0,0.0,21716.0,388.5,847.0
Republic of Korea (the),2016,9733.7,4882.0,0.2,1026.5,40.5,1785.0,0.0,255.0,1179.0,76.5,360.0,129.0,0.0,103118.5,4700.0,34778.0,3444.0,36646.0,0.0,23116.0,434.5,1067.0
Republic of Korea (the),2017,12042.2,6435.0,0.2,1169.5,45.5,1789.0,0.0,255.0,1799.0,54.0,359.0,136.0,0.0,113351.0,4700.0,40533.0,3444.0,41664.0,0.0,22529.0,481.0,1215.0
Republic of Korea (the),2018,14772.5,8921.0,0.0,1347.0,73.0,1790.0,0.0,255.0,1835.0,63.5,348.0,140.0,0.0,115423.5,4700.0,42245.0,3444.0,42551.0,0.0,21850.0,633.5,1420.0
Republic of Korea (the),2019,19490.5,12717.0,0.0,1421.0,73.0,1809.0,0.0,256.0,1992.0,63.5,1020.0,139.0,0.0,116064.5,4700.0,41430.0,3297.0,42702.0,0.0,23250.0,685.5,1494.0
Republic of Korea (the),2020,24658.0,17323.0,0.0,1509.0,136.0,1806.0,0.0,256.0,2447.0,91.0,950.0,140.0,0.0,117571.0,4700.0,42413.0,3378.0,42965.0,0.0,23250.0,865.0,1645.0
Republic of Korea (the),2021,27815.5,21264.0,0.0,1588.0,136.0,1841.0,0.0,256.0,2011.0,90.5,487.0,142.0,0.0,118166.5,4700.0,42897.0,3292.0,42996.0,0.0,23250.0,1031.5,1724.0
Republic of Korea (the),2022,31213.107,24078.145,0.0,1772.459,136.0,1812.423,0.0,255.58,2316.0,117.5,561.0,164.0,0.0,118665.94,4700.0,43687.0,2053.13,42514.31,0.0,24650.0,1061.5,1908.459
Republic of Korea (the),2023,34449.626,27046.231,0.0,2031.319,136.0,1804.996,0.0,255.58,2328.0,118.5,564.0,165.0,0.0,121633.912,4700.0,44727.0,1990.27,44504.142,0.0,24650.0,1062.5,2167.319
