Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Russian Federation (the),2000,44716.83,0.0,0.0,3.0,0.0,43449.0,0.0,0.4,1241.43,0.0,0.0,0.0,23.0,169600.0,1200.0,0.0,0.0,0.0,146670.0,21730.0,0.0,3.0
Russian Federation (the),2001,45113.13,0.0,0.0,3.0,0.0,43806.0,0.0,0.4,1282.73,0.0,0.0,0.0,21.0,171287.0,1200.0,0.0,0.0,0.0,147345.0,22742.0,0.0,3.0
Russian Federation (the),2002,45260.13,0.0,0.0,7.0,0.0,43928.0,0.0,0.4,1254.73,0.0,0.0,0.0,70.0,171171.0,1216.0,0.0,0.0,0.0,147213.0,22742.0,0.0,7.0
Russian Federation (the),2003,45680.23,0.0,0.0,9.0,0.0,44338.0,0.0,0.4,1262.83,0.0,0.0,0.0,70.0,171913.0,1216.0,0.0,0.0,0.0,147955.0,22742.0,0.0,9.0
Russian Federation (the),2004,46061.9,0.0,0.0,9.0,0.0,44719.0,0.0,0.4,1277.5,0.0,0.0,0.0,56.0,172201.0,1143.0,0.0,0.0,0.0,148316.0,22742.0,0.0,9.0
Russian Federation (the),2005,46389.23,0.0,0.0,10.0,0.0,45033.0,0.0,0.4,1266.83,0.0,0.0,0.0,79.0,174337.0,1180.0,0.0,0.0,0.0,149915.0,23242.0,0.0,10.0
Russian Federation (the),2006,46710.23,0.0,0.0,10.0,0.0,45346.0,0.0,0.4,1266.83,0.0,0.0,0.0,87.0,176471.0,1216.0,0.0,0.0,0.0,151513.0,23742.0,0.0,10.0
Russian Federation (the),2007,47455.53,0.0,0.0,10.0,0.0,46091.0,0.0,1.7,1262.83,0.0,0.0,0.0,90.0,178293.0,1216.0,0.0,0.0,0.0,153335.0,23742.0,0.0,10.0
Russian Federation (the),2008,47749.25,0.0,0.0,10.0,0.0,46405.0,0.0,1.7,1252.55,0.0,0.0,0.0,80.0,179298.0,1216.0,0.0,0.0,0.0,154778.0,23304.0,0.0,10.0
Russian Federation (the),2009,47977.85,0.0,0.0,10.0,0.0,46651.0,0.0,1.7,1234.15,0.0,0.0,0.0,81.0,179316.0,1216.0,0.0,0.0,0.0,153800.0,24300.0,0.0,10.0
Russian Federation (the),2010,48062.86,0.01,0.0,10.0,0.0,46773.0,0.0,1.7,1197.15,0.0,0.0,0.0,81.0,176630.0,1216.0,0.0,0.0,0.0,151114.0,24300.0,0.0,10.0
Russian Federation (the),2011,48111.873,0.023,0.0,10.0,0.0,46822.0,0.0,1.7,1197.15,0.0,0.0,0.0,81.0,176630.0,1216.0,0.0,0.0,0.0,151114.0,24300.0,0.0,10.0
Russian Federation (the),2012,49822.943,0.093,0.0,10.0,0.0,48533.0,0.0,1.7,1197.15,0.0,0.0,0.0,81.0,184365.0,1216.0,0.0,0.0,0.0,157845.0,25304.0,0.0,10.0
Russian Federation (the),2013,50629.109,1.259,0.0,10.0,0.0,49340.0,0.0,1.7,1197.15,0.0,0.0,0.0,79.0,190446.0,1216.0,0.0,0.0,0.0,163926.0,25304.0,0.0,10.0
Russian Federation (the),2014,51580.7,5.0,0.0,10.0,0.0,50116.0,0.0,1.7,1370.0,0.0,0.0,0.0,78.0,208985.0,1216.0,0.0,0.0,0.0,182465.0,25304.0,0.0,10.0
Russian Federation (the),2015,51780.92,61.32,0.0,10.9,0.0,50259.0,0.0,1.7,1370.0,0.0,0.0,0.0,78.0,200668.0,1216.0,0.0,0.0,0.0,179148.0,20304.0,0.0,10.9
Russian Federation (the),2016,51786.92,76.32,0.0,10.9,0.0,50250.0,0.0,1.7,1370.0,0.0,0.0,0.0,78.0,214317.7,1216.0,0.0,0.0,0.0,185912.7,27189.0,0.0,10.9
Russian Federation (the),2017,52170.186,225.32,0.0,10.9,0.0,50485.766,0.0,1.7,1372.5,0.0,0.0,0.0,74.0,215748.7,1216.0,0.0,0.0,0.0,186580.7,27952.0,0.0,10.9
Russian Federation (the),2018,52613.92,535.32,0.0,51.9,0.0,50578.5,0.0,1.7,1372.5,0.0,0.0,0.0,74.0,216591.611,1216.0,0.0,0.0,0.0,186235.611,29140.0,0.0,51.9
Russian Federation (the),2019,53912.583,1276.32,0.0,101.9,0.0,51078.763,0.0,1.7,1372.5,0.0,0.0,0.0,81.4,219074.0,1216.0,0.0,0.0,0.0,187519.0,30339.0,0.0,101.9
Russian Federation (the),2020,55219.445,1427.82,0.0,945.3,0.0,51398.125,0.0,1.7,1372.5,0.0,0.0,0.0,74.0,217705.9,1215.9,0.0,0.0,0.0,187081.0,29409.0,0.0,945.3
Russian Federation (the),2021,56462.345,1661.02,0.0,1955.0,0.0,51398.125,0.0,1.7,1372.5,0.0,0.0,0.0,74.0,217785.06,1356.0,0.0,0.0,0.0,186886.07,29542.99,0.0,1955.0
Russian Federation (the),2022,56880.225,1815.9,0.0,2218.0,0.0,51398.125,0.0,1.7,1372.5,0.0,0.0,0.0,74.0,218227.39,1356.0,0.0,0.0,0.0,187328.4,29542.99,0.0,2218.0
Russian Federation (the),2023,56708.07,2170.12,0.0,2517.75,0.0,50571.0,0.0,2.7,1372.5,0.0,0.0,0.0,74.0,216700.0,1356.0,0.0,23789.0,0.0,162012.0,29543.0,0.0,2517.75
