Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Sweden,2000,18263.0,3.0,0.0,196.0,13.0,16506.0,0.0,0.0,1490.0,37.0,0.0,18.0,0.0,15461.0,19.0,0.0,0.0,0.0,5944.0,9461.0,37.0,209.0
Sweden,2001,18703.0,3.0,0.0,273.0,22.0,16523.0,0.0,0.0,1778.0,85.0,0.0,19.0,0.0,15135.0,45.0,0.0,0.0,0.0,5569.0,9436.0,85.0,295.0
Sweden,2002,18322.0,3.0,0.0,335.0,22.0,16187.0,0.0,0.0,1670.0,85.0,0.0,20.0,0.0,14184.0,45.0,0.0,0.0,0.0,4602.0,9452.0,85.0,357.0
Sweden,2003,18294.0,4.0,0.0,395.0,22.0,16098.0,0.0,0.0,1670.0,85.0,0.0,20.0,0.0,15089.0,45.0,0.0,0.0,0.0,5518.0,9441.0,85.0,417.0
Sweden,2004,19131.0,4.0,0.0,453.0,22.0,16302.0,0.0,0.0,1670.0,132.0,528.0,20.0,0.0,15116.0,43.0,0.0,0.0,0.0,5470.0,9471.0,132.0,475.0
Sweden,2005,20069.5,4.0,0.0,500.0,22.0,16302.0,0.0,0.0,2526.0,145.5,528.0,42.0,0.0,13877.5,43.0,0.0,0.0,0.0,4098.0,9471.0,265.5,522.0
Sweden,2006,20906.5,5.0,0.0,563.0,22.0,16234.0,0.0,0.0,3202.0,328.5,528.0,24.0,0.0,13817.5,36.0,0.0,0.0,0.0,3906.0,9454.0,421.5,585.0
Sweden,2007,20750.0,6.0,0.0,692.0,131.0,16592.0,0.0,0.0,2570.0,207.0,528.0,24.0,0.0,14191.0,45.0,0.0,0.0,0.0,4665.0,9074.0,407.0,823.0
Sweden,2008,20973.5,8.0,0.0,956.0,133.0,16352.0,0.0,0.0,2761.0,211.5,528.0,24.0,0.0,13772.5,85.0,0.0,0.0,0.0,4449.0,8938.0,300.5,1089.0
Sweden,2009,22042.0,9.0,0.0,1312.0,163.0,16544.0,0.0,0.0,3142.0,327.0,528.0,17.0,0.0,13798.0,108.0,0.0,0.0,0.0,4424.0,8839.0,427.0,1475.0
Sweden,2010,22707.15,11.0,0.0,1854.0,163.0,16624.0,0.0,0.15,3178.0,327.0,528.0,22.0,0.0,14273.0,108.0,0.0,0.0,0.0,4761.0,8977.0,427.0,2017.0
Sweden,2011,23468.65,12.0,0.0,2601.0,163.0,16478.0,0.0,0.15,3397.0,285.5,528.0,4.0,0.0,12281.5,99.0,0.0,0.0,0.0,2493.0,9323.0,366.5,2764.0
Sweden,2012,24292.65,24.0,0.0,3443.0,163.0,16315.0,0.0,0.15,3522.0,292.5,528.0,5.0,0.0,13549.5,99.0,0.0,0.0,0.0,3531.0,9436.0,483.5,3606.0
Sweden,2013,24645.237,43.0,0.0,3982.0,212.0,16395.0,0.0,0.237,3120.0,340.0,548.0,5.0,0.0,13270.0,99.0,0.0,0.0,0.0,3214.0,9408.0,549.0,4194.0
Sweden,2014,25527.687,60.0,0.0,4875.0,213.0,15897.0,0.0,0.187,3729.0,229.5,522.0,2.0,0.0,13199.5,99.0,0.0,0.0,0.0,3174.0,9507.0,419.5,5088.0
Sweden,2015,26869.187,104.0,0.0,5606.0,213.0,16230.0,0.0,0.187,3700.0,438.0,576.0,2.0,0.0,12822.0,99.0,0.0,0.0,0.0,2516.0,9688.0,519.0,5819.0
Sweden,2016,27804.687,153.0,0.0,6232.0,203.0,16367.0,0.0,0.187,3769.0,563.5,515.0,2.0,0.0,12512.5,99.0,0.0,0.0,0.0,1892.0,9768.0,753.5,6435.0
Sweden,2017,28179.187,244.0,0.0,6408.0,203.0,16403.0,99.0,0.187,3706.0,567.0,547.0,2.0,0.0,11619.0,0.0,0.0,0.0,0.0,1863.0,8999.0,757.0,6611.0
Sweden,2018,29179.687,428.0,0.0,7097.0,203.0,16332.0,99.0,0.187,3918.0,565.5,535.0,2.0,0.0,12043.5,0.0,0.0,0.0,0.0,2632.0,8656.0,755.5,7300.0
Sweden,2019,31155.5,714.0,0.0,8478.0,203.0,16363.0,99.0,0.0,3834.0,567.5,895.0,2.0,0.0,11668.5,0.0,0.0,0.0,0.0,2287.0,8624.0,757.5,8681.0
Sweden,2020,31950.5,1107.0,0.0,9773.0,203.0,16307.0,99.0,0.0,2942.0,622.5,895.0,2.0,0.0,12518.5,0.0,0.0,0.0,0.0,4119.0,7777.0,622.5,9976.0
Sweden,2021,34505.0,1606.0,0.0,11923.0,193.0,16308.0,99.0,0.0,3093.0,386.0,895.0,2.0,0.0,11045.0,0.0,0.0,0.0,0.0,3760.0,6899.0,386.0,12116.0
Sweden,2022,37572.5,2388.0,0.0,14086.0,193.0,16300.0,99.0,0.0,3274.0,335.5,895.0,2.0,0.0,10993.5,0.0,0.0,0.0,0.0,3757.0,6901.0,335.5,14279.0
Sweden,2023,40645.5,3488.0,0.0,16059.0,193.0,16300.0,99.0,0.0,3274.0,335.5,895.0,2.0,0.0,10993.5,0.0,0.0,0.0,0.0,3757.0,6901.0,335.5,16252.0
