Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Switzerland,2000,13113.0,16.0,0.0,3.0,0.0,3636.0,9288.0,0.0,0.0,137.0,0.0,33.0,0.0,4150.0,316.0,0.0,112.0,132.0,253.0,3200.0,137.0,3.0
Switzerland,2001,13165.0,18.0,0.0,5.0,0.0,3642.0,9326.0,0.0,0.0,142.0,0.0,32.0,0.0,4159.0,316.0,0.0,113.0,134.0,254.0,3200.0,142.0,5.0
Switzerland,2002,13179.0,20.0,0.0,5.0,0.0,3653.0,9326.0,0.0,0.0,142.0,0.0,33.0,0.0,4182.0,316.0,0.0,113.0,138.0,253.0,3220.0,142.0,5.0
Switzerland,2003,13201.5,22.0,0.0,5.0,0.0,3669.0,9326.0,0.0,0.0,146.5,0.0,33.0,0.0,4197.5,316.0,0.0,112.0,185.0,218.0,3220.0,146.5,5.0
Switzerland,2004,13218.5,24.0,0.0,9.0,0.0,3650.0,9351.0,0.0,0.0,152.5,0.0,32.0,0.0,4178.5,316.0,0.0,111.0,122.0,257.0,3220.0,152.5,9.0
Switzerland,2005,13268.0,28.0,0.0,12.0,0.0,3682.0,9358.0,0.0,0.0,154.0,0.0,34.0,0.0,4173.0,316.0,0.0,108.0,136.0,239.0,3220.0,154.0,12.0
Switzerland,2006,13280.5,30.0,0.0,12.0,0.0,3694.0,9345.0,0.0,0.0,167.5,0.0,32.0,0.0,4175.5,316.0,0.0,107.0,160.0,205.0,3220.0,167.5,12.0
Switzerland,2007,13398.0,37.0,0.0,12.0,0.0,3700.0,9449.0,0.0,0.0,168.0,0.0,32.0,0.0,4174.0,316.0,0.0,104.0,156.0,210.0,3220.0,168.0,12.0
Switzerland,2008,13420.0,49.0,0.0,14.0,0.0,3709.0,9450.0,0.0,0.0,166.0,0.0,32.0,0.0,4193.0,316.0,0.0,99.0,194.0,198.0,3220.0,166.0,14.0
Switzerland,2009,13504.5,79.0,0.0,18.0,0.0,3749.0,9457.0,0.0,0.0,169.5,0.0,32.0,0.0,4271.5,316.0,0.0,96.0,199.0,253.0,3238.0,169.5,18.0
Switzerland,2010,13645.0,125.0,0.0,42.0,0.0,3810.0,9457.0,0.0,0.0,179.0,0.0,32.0,0.0,4442.0,456.0,0.0,88.0,282.0,184.0,3253.0,179.0,42.0
Switzerland,2011,13789.5,223.0,0.0,46.0,0.0,3852.0,9462.0,0.0,0.0,174.5,0.0,32.0,0.0,4445.5,456.0,0.0,87.0,226.0,224.0,3278.0,174.5,46.0
Switzerland,2012,14065.0,437.0,0.0,49.0,0.0,3882.0,9465.0,0.0,0.0,199.0,0.0,33.0,0.0,4520.0,456.0,0.0,87.0,265.0,235.0,3278.0,199.0,49.0
Switzerland,2013,14409.0,756.0,0.0,60.0,0.0,3896.0,9465.0,0.0,0.0,199.0,0.0,33.0,0.0,4523.0,456.0,0.0,87.0,266.0,237.0,3278.0,199.0,60.0
Switzerland,2014,14638.0,1061.0,0.0,60.0,0.0,3948.0,9340.0,0.0,0.0,197.0,0.0,32.0,0.0,4528.0,456.0,0.0,87.0,237.0,243.0,3308.0,197.0,60.0
Switzerland,2015,15040.0,1394.0,0.0,60.0,0.0,3996.0,9350.0,0.0,0.0,211.0,0.0,29.0,0.0,4578.0,469.0,0.0,87.0,239.0,239.0,3333.0,211.0,60.0
Switzerland,2016,16258.5,1664.0,0.0,75.0,0.0,4060.0,10219.0,0.0,0.0,211.5,0.0,29.0,0.0,4580.5,527.0,0.0,87.0,230.0,192.0,3333.0,211.5,75.0
Switzerland,2017,17048.5,1906.0,0.0,75.0,0.0,4112.0,10714.0,0.0,0.0,211.5,0.0,30.0,0.0,4564.5,527.0,0.0,83.0,228.0,182.0,3333.0,211.5,75.0
Switzerland,2018,17469.5,2173.0,0.0,75.0,0.0,4194.0,10786.0,0.0,0.0,211.5,0.0,30.0,0.0,4593.5,562.0,0.0,82.0,225.0,180.0,3333.0,211.5,75.0
Switzerland,2019,17826.0,2498.0,0.0,75.0,0.0,4226.0,10786.0,0.0,0.0,211.0,0.0,30.0,0.0,4597.0,562.0,0.0,76.0,224.0,191.0,3333.0,211.0,75.0
Switzerland,2020,18334.0,2973.0,0.0,87.0,0.0,4246.0,10786.0,0.0,0.0,211.0,0.0,31.0,0.0,4607.0,562.0,0.0,76.0,224.0,201.0,3333.0,211.0,87.0
Switzerland,2021,19025.0,3655.0,0.0,87.0,0.0,4263.0,10786.0,0.0,0.0,203.0,0.0,31.0,0.0,4253.0,562.0,0.0,76.0,228.0,224.0,2960.0,203.0,87.0
Switzerland,2022,19725.92,4339.92,0.0,87.0,0.0,4263.0,10802.0,0.0,0.0,203.0,0.0,31.0,0.0,4253.0,562.0,0.0,76.0,228.0,224.0,2960.0,203.0,87.0
Switzerland,2023,21439.92,5839.92,0.0,87.0,0.0,4293.0,10986.0,0.0,0.0,203.0,0.0,31.0,0.0,4253.0,562.0,0.0,76.0,228.0,224.0,2960.0,203.0,87.0
