Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Türkiye,2000,11288.1,0.1,0.0,19.0,0.0,11175.0,0.0,0.0,72.0,0.0,0.0,4.0,18.0,15976.0,0.0,0.0,0.0,0.0,15957.0,0.0,19.0,19.0
Türkiye,2001,11786.3,0.3,0.0,19.0,0.0,11673.0,0.0,0.0,72.0,0.0,0.0,4.0,18.0,16546.0,0.0,0.0,0.0,0.0,16527.0,0.0,19.0,19.0
Türkiye,2002,12359.6,0.6,0.0,19.0,0.0,12241.0,0.0,0.0,72.0,0.0,0.0,9.0,18.0,19487.0,0.0,0.0,0.0,0.0,19468.0,0.0,19.0,19.0
Türkiye,2003,12695.0,1.0,0.0,19.0,0.0,12579.0,0.0,0.0,72.0,0.0,0.0,9.0,15.0,22893.0,0.0,0.0,0.0,0.0,22874.0,0.0,19.0,19.0
Türkiye,2004,12761.5,1.5,0.0,19.0,0.0,12645.0,0.0,0.0,72.0,0.0,0.0,9.0,15.0,24064.0,0.0,0.0,0.0,0.0,24045.0,0.0,19.0,19.0
Türkiye,2005,13025.0,2.0,0.0,21.0,0.0,12906.0,0.0,0.0,72.0,0.0,0.0,9.0,15.0,25820.0,0.0,0.0,0.0,0.0,25793.0,0.0,27.0,21.0
Türkiye,2006,13233.5,2.5,0.0,59.0,0.0,13063.0,0.0,0.0,72.0,0.0,0.0,14.0,23.0,27334.0,0.0,0.0,0.0,0.0,27307.0,0.0,27.0,59.0
Türkiye,2007,13655.0,3.0,0.0,146.0,0.0,13395.0,0.0,0.0,72.0,0.0,0.0,16.0,23.0,27183.0,0.0,0.0,0.0,0.0,27156.0,0.0,27.0,146.0
Türkiye,2008,14328.7,3.7,0.0,364.0,0.0,13829.0,0.0,0.0,69.0,0.0,0.0,33.0,30.0,27493.0,0.0,0.0,0.0,0.0,27466.0,0.0,27.0,364.0
Türkiye,2009,15528.7,4.7,0.0,792.0,0.0,14553.0,0.0,0.0,47.0,0.0,0.0,55.0,77.0,29237.0,0.0,0.0,0.0,0.0,29210.0,0.0,27.0,792.0
Türkiye,2010,17368.7,5.7,0.0,1320.0,0.0,15831.0,0.0,0.0,47.0,0.0,0.0,71.0,94.0,32161.0,0.0,0.0,0.0,0.0,32134.0,0.0,27.0,1320.0
Türkiye,2011,19085.7,6.7,0.0,1729.0,0.0,17137.0,0.0,0.0,10.0,0.0,0.0,89.0,114.0,33832.0,0.0,0.0,0.0,0.0,33805.0,0.0,27.0,1729.0
Türkiye,2012,22185.7,11.7,0.0,2261.0,0.0,19609.0,0.0,0.0,10.0,0.0,0.0,132.0,162.0,34885.0,0.0,0.0,0.0,0.0,34857.0,0.0,28.0,2261.0
Türkiye,2013,25550.7,17.7,1.0,2760.0,0.0,22289.0,0.0,0.0,10.0,0.0,0.0,162.0,311.0,38476.0,0.0,0.0,0.0,0.0,38412.0,0.0,64.0,2760.0
Türkiye,2014,27940.0,40.0,1.0,3630.0,0.0,23643.0,0.0,0.0,10.0,0.0,7.0,204.0,405.0,41581.0,0.0,0.0,0.0,0.0,41503.0,0.0,78.0,3630.0
Türkiye,2015,31516.0,249.0,1.0,4503.0,0.0,25868.0,0.0,0.0,12.0,0.0,7.0,252.0,624.0,41632.0,0.0,0.0,0.0,0.0,41533.0,0.0,99.0,4503.0
Türkiye,2016,34446.0,833.0,1.0,5751.0,0.0,26681.0,0.0,0.0,55.0,0.0,7.0,297.0,821.0,44052.0,0.0,0.0,0.0,0.0,43913.0,0.0,139.0,5751.0
Türkiye,2017,38746.45,3420.7,1.0,6516.15,0.0,27273.1,0.0,0.0,83.0,0.0,12.3,376.5,1063.7,46454.53,0.0,0.0,0.0,0.0,46284.505,0.0,170.025,6516.15
Türkiye,2018,42230.393,5062.608,1.0,7005.386,0.0,28291.392,0.0,0.0,128.95,1.25,18.802,438.487,1282.518,46321.16,0.0,0.0,0.0,0.0,46089.756,0.0,231.404,7005.386
Türkiye,2019,44388.542,5995.155,1.0,7591.156,0.0,28503.008,0.0,0.0,214.22,2.25,19.282,547.783,1514.688,46879.45,0.0,0.0,0.0,0.0,46492.449,0.0,387.001,7591.156
Türkiye,2020,49195.384,6667.418,1.0,8832.395,0.0,30983.901,0.0,0.0,331.633,2.3,22.78,740.769,1613.188,46696.223,0.0,0.0,0.0,0.0,46290.921,0.0,405.302,8832.395
Türkiye,2021,53175.324,7815.63,1.0,10606.975,0.0,31492.578,0.0,0.0,490.958,54.235,50.933,986.845,1676.17,46582.501,0.0,0.0,0.0,0.0,46177.199,0.0,405.302,10606.975
Türkiye,2022,55945.685,9424.63,1.0,11396.16,0.0,31571.49,0.0,0.0,616.168,54.235,64.933,1125.731,1691.338,47805.501,0.0,0.0,0.0,0.0,47400.199,0.0,405.302,11396.16
Türkiye,2023,58461.685,11291.63,1.0,11697.16,0.0,31779.49,0.0,0.0,616.168,54.235,64.933,1265.731,1691.338,47825.501,0.0,0.0,0.0,0.0,47420.199,0.0,405.302,11697.16
