Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
United Kingdom of Great Britain and Northern Ireland (the),2000,2916.0,2.0,0.0,431.0,4.0,1485.0,300.0,1.0,133.0,92.0,0.0,468.0,0.0,75500.0,2488.0,25901.0,5190.0,21138.0,8205.0,12486.0,92.0,435.0
United Kingdom of Great Britain and Northern Ireland (the),2001,3202.0,3.0,0.0,490.0,4.0,1629.0,300.0,1.0,133.0,139.0,0.0,503.0,0.0,76664.0,2488.0,25840.0,5126.0,22294.0,8291.0,12486.0,139.0,494.0
United Kingdom of Great Britain and Northern Ireland (the),2002,3261.5,4.0,0.0,531.0,4.0,1583.0,300.0,1.0,155.0,148.5,0.0,535.0,0.0,73561.5,2488.0,23392.0,4986.0,23653.0,6654.0,12240.0,148.5,535.0
United Kingdom of Great Britain and Northern Ireland (the),2003,3650.0,6.0,0.0,678.0,64.0,1485.0,300.0,1.0,254.0,162.0,0.0,700.0,0.0,74697.0,2488.0,23468.0,5296.0,25504.0,5927.0,11852.0,162.0,742.0
United Kingdom of Great Britain and Northern Ireland (the),2004,4009.0,8.0,0.0,809.0,124.0,1499.0,300.0,1.0,301.0,163.0,0.0,804.0,0.0,76744.0,2488.0,23640.0,5301.0,25751.0,7549.0,11852.0,163.0,933.0
United Kingdom of Great Britain and Northern Ireland (the),2005,4922.0,11.0,0.0,1351.0,214.0,1501.0,300.0,1.0,474.0,170.0,0.0,900.0,0.0,77457.0,2488.0,23573.0,5447.0,26445.0,7482.0,11852.0,170.0,1565.0
United Kingdom of Great Britain and Northern Ireland (the),2006,5412.0,14.0,0.0,1651.0,304.0,1515.0,300.0,1.0,508.0,176.0,0.0,943.0,0.0,78221.0,2426.0,23761.0,5992.0,26965.0,7932.0,10969.0,176.0,1955.0
United Kingdom of Great Britain and Northern Ireland (the),2007,6011.0,18.0,0.0,2083.0,394.0,1522.0,300.0,1.0,526.0,176.0,0.0,991.0,0.0,78284.0,2444.0,23870.0,6022.0,26345.0,8448.0,10979.0,176.0,2477.0
United Kingdom of Great Britain and Northern Ireland (the),2008,7055.0,23.0,0.0,2849.8,596.2,1628.0,300.0,1.0,486.0,184.0,0.0,987.0,0.0,78712.0,2444.0,24192.0,6263.0,28191.0,6362.0,10979.0,281.0,3446.0
United Kingdom of Great Britain and Northern Ireland (the),2009,8302.5,27.0,0.0,3468.0,951.0,1640.0,300.0,2.0,587.0,190.5,0.0,1137.0,0.0,79228.5,2444.0,24121.0,6331.0,29051.0,6142.0,10858.0,281.5,4419.0
United Kingdom of Great Britain and Northern Ireland (the),2010,9626.5,95.0,0.0,4080.0,1341.0,1647.0,300.0,4.0,709.0,206.5,0.0,1244.0,0.0,84058.5,2444.0,24090.0,6298.0,34026.0,6021.0,10865.0,314.5,5421.0
United Kingdom of Great Britain and Northern Ireland (the),2011,12783.0,1000.0,0.0,4758.0,1838.0,1679.0,300.0,4.0,1627.0,251.0,0.0,1326.0,0.0,81044.0,2444.0,24145.0,6284.0,32188.0,4940.0,10663.0,380.0,6596.0
United Kingdom of Great Britain and Northern Ireland (the),2012,15901.0,1753.0,0.0,6035.0,2995.0,1693.0,300.0,9.0,1485.0,256.0,0.0,1375.0,0.0,80146.0,2444.0,24207.0,4984.0,35150.0,3040.0,9946.0,375.0,9030.0
United Kingdom of Great Britain and Northern Ireland (the),2013,20026.5,2937.0,0.0,7586.0,3696.0,1709.0,300.0,8.0,2104.0,272.5,0.0,1414.0,0.0,73593.5,2444.0,21465.0,3775.0,34872.0,754.0,9906.0,377.5,11282.0
United Kingdom of Great Britain and Northern Ireland (the),2014,24880.0,5528.0,0.0,8573.0,4501.0,1729.0,300.0,9.0,2369.0,340.0,0.0,1531.0,0.0,71741.0,2444.0,19949.0,4079.0,33807.0,1094.0,9937.0,431.0,13074.0
United Kingdom of Great Britain and Northern Ireland (the),2015,30800.0,9601.0,0.0,9212.0,5093.0,1777.0,300.0,9.0,2715.0,465.0,0.0,1628.0,0.0,65595.0,2600.0,18462.0,2199.0,30951.0,1402.0,9487.0,494.0,14305.0
United Kingdom of Great Britain and Northern Ireland (the),2016,35436.339,11914.0,0.0,10833.0,5293.0,1832.929,300.0,13.49,2962.87,514.05,0.0,1773.0,0.0,62063.64,2600.0,13698.52,2358.31,32399.9,1152.374,9261.0,593.536,16126.0
United Kingdom of Great Britain and Northern Ireland (the),2017,40046.357,12760.0,0.0,12597.0,6988.0,1870.072,300.0,18.4,3149.51,545.375,0.0,1818.0,0.0,63232.585,2600.0,13363.45,2053.52,34101.06,1205.718,9261.0,647.837,19585.0
United Kingdom of Great Britain and Northern Ireland (the),2018,43907.25,13060.0,0.0,13425.149,8180.5,1877.0,300.0,20.298,4592.59,568.27,45.443,1838.0,0.0,62511.331,2600.0,12336.852,1386.204,35394.449,847.167,9261.0,685.659,21605.648999999998
United Kingdom of Great Britain and Northern Ireland (the),2019,46663.966,13345.0,0.0,13998.819,9888.1,1879.86,300.0,22.298,4683.81,654.791,47.288,1844.0,0.0,56330.029,2600.0,6817.488,1411.836,34445.459,1010.744,9261.0,783.502,23886.919
United Kingdom of Great Britain and Northern Ireland (the),2020,47518.49,13551.0,0.0,14075.069,10382.9,1885.264,300.0,22.398,4693.42,717.37,46.069,1845.0,0.0,55063.201,2600.0,5360.879,1274.697,34701.817,1016.911,9261.0,847.897,24457.968999999997
United Kingdom of Great Britain and Northern Ireland (the),2021,49263.111,13915.0,0.0,14492.789,11255.5,1890.434,300.0,22.398,4702.17,725.356,36.464,1923.0,0.0,53640.08,2600.0,5359.865,1347.242,34567.678,1085.807,7833.0,846.488,25748.289
United Kingdom of Great Britain and Northern Ireland (the),2022,53063.982,14651.0,0.0,14834.673,13927.5,1890.434,300.0,22.398,4714.21,752.478,36.289,1935.0,0.0,53985.575,2600.0,5364.824,1367.038,34945.977,991.876,7833.0,882.86,28762.173000000003
United Kingdom of Great Britain and Northern Ireland (the),2023,55561.482,15656.5,0.0,15469.673,14745.5,1890.434,300.0,22.398,4714.21,773.478,36.289,1953.0,0.0,52056.575,2600.0,5364.824,1367.038,34945.977,991.876,5883.0,903.86,30215.173000000003
