Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Venezuela (Bolivarian Republic of),2000,13239.754,0.0,0.0,0.0,0.0,13228.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,8018.0,0.0,0.0,3006.469,5011.531,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2001,13231.754,0.0,0.0,0.0,0.0,13220.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,8111.0,0.0,0.0,3802.892,4308.108,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2002,12515.754,0.0,0.0,0.0,0.0,12504.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,8086.0,0.0,0.0,5079.528,3006.472,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2003,12515.754,0.0,0.0,0.0,0.0,12504.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,8086.0,0.0,0.0,5801.75,2284.25,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2004,13888.754,0.0,0.0,0.0,0.0,13877.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,8260.0,0.0,0.0,4701.674,3558.326,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2005,14438.826,0.072,0.0,0.0,0.0,14427.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,7538.0,0.0,0.0,5258.371,2279.629,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2006,14621.897,0.143,0.0,0.0,0.0,14610.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,7618.0,0.0,0.0,5299.848,2318.152,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2007,14621.969,0.215,0.0,0.0,0.0,14610.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,7943.0,0.0,0.0,5000.381,2942.619,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2008,14622.041,0.287,0.0,0.0,0.0,14610.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,8631.75,0.0,0.0,5703.972,2927.778,0.0,0.0,0.0,0.0
Venezuela (Bolivarian Republic of),2009,14647.112,0.358,0.0,0.0,0.0,14635.254,0.0,0.0,11.5,0.0,0.0,0.0,0.0,10254.04,0.0,0.0,5933.229,4320.811,0.0,0.0,0.0,0.0
