Country/area,Year,Total Renewable,Solar photovoltaic,Solar thermal energy,Onshore wind energy,Offshore wind energy,Renewable hydropower,Mixed Hydro Plants,Marine energy,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal energy,Total Non-Renewable,Pumped storage,Coal and peat,Oil,Natural gas,Fossil fuels n.e.s.,Nuclear,Other non-renewable energy,Wind energy
Viet Nam,2000,3398.902,0.002,0.0,0.0,0.0,3273.9,0.0,0.0,125.0,0.0,0.0,0.0,0.0,3250.0,0.0,0.0,0.0,0.0,3250.0,0.0,0.0,0.0
Viet Nam,2001,3934.108,0.108,0.0,0.0,0.0,3809.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0
Viet Nam,2002,4243.636,0.236,0.0,0.0,0.0,4118.4,0.0,0.0,125.0,0.0,0.0,0.0,0.0,4714.0,0.0,0.0,0.0,0.0,4714.0,0.0,0.0,0.0
Viet Nam,2003,4295.706,0.406,0.0,0.0,0.0,4170.3,0.0,0.0,125.0,0.0,0.0,0.0,0.0,5174.0,0.0,0.0,0.0,0.0,5174.0,0.0,0.0,0.0
Viet Nam,2004,4337.847,0.747,0.0,0.0,0.0,4212.1,0.0,0.0,125.0,0.0,0.0,0.0,0.0,7945.0,0.0,0.0,0.0,0.0,7945.0,0.0,0.0,0.0
Viet Nam,2005,4396.415,1.885,0.0,0.0,0.0,4267.1,0.0,0.0,125.0,0.0,0.0,2.43,0.0,8300.0,0.0,0.0,0.0,0.0,8300.0,0.0,0.0,0.0
Viet Nam,2006,4638.354,3.424,0.0,0.0,0.0,4507.5,0.0,0.0,125.0,0.0,0.0,2.43,0.0,8300.0,0.0,0.0,0.0,0.0,8300.0,0.0,0.0,0.0
Viet Nam,2007,5041.454,3.424,0.0,0.0,0.0,4910.6,0.0,0.0,125.0,0.0,0.0,2.43,0.0,8350.0,0.0,0.0,0.0,0.0,8350.0,0.0,0.0,0.0
Viet Nam,2008,6043.854,3.424,0.0,1.3,0.0,5911.7,0.0,0.0,125.0,0.0,0.0,2.43,0.0,9044.0,0.0,0.0,0.0,0.0,9044.0,0.0,0.0,1.3
Viet Nam,2009,7324.545,3.515,0.0,8.8,0.0,7184.8,0.0,0.0,125.0,0.0,0.0,2.43,0.0,11950.0,0.0,0.0,0.0,0.0,11950.0,0.0,0.0,8.8
Viet Nam,2010,8815.448,4.518,0.0,31.0,0.0,8652.5,0.0,0.0,125.0,0.0,0.0,2.43,0.0,16950.0,0.0,0.0,0.0,0.0,16950.0,0.0,0.0,31.0
Viet Nam,2011,10242.948,4.518,0.0,31.0,0.0,10080.0,0.0,0.0,125.0,0.0,0.0,2.43,0.0,17700.0,0.0,0.0,0.0,0.0,17700.0,0.0,0.0,31.0
Viet Nam,2012,13714.948,4.518,0.0,31.0,0.0,13552.0,0.0,0.0,125.0,0.0,0.0,2.43,0.0,17700.0,0.0,0.0,0.0,0.0,17700.0,0.0,0.0,31.0
Viet Nam,2013,14902.948,4.518,0.0,37.0,16.0,14718.0,0.0,0.0,125.0,0.0,0.0,2.43,0.0,17700.0,0.0,0.0,0.0,0.0,17700.0,0.0,0.0,53.0
Viet Nam,2014,15998.82,5.29,0.0,37.0,16.0,15745.1,0.0,0.0,193.0,0.0,0.0,2.43,0.0,18267.65,0.0,9759.0,1254.5,7254.15,0.0,0.0,0.0,53.0
Viet Nam,2015,16989.72,5.29,0.0,37.0,99.0,16628.0,0.0,0.0,218.0,0.0,0.0,2.43,0.0,21926.0,0.0,12903.0,1289.0,7734.0,0.0,0.0,0.0,136.0
Viet Nam,2016,18270.92,5.29,0.0,61.0,99.2,17849.0,0.0,0.0,252.0,0.0,0.0,4.43,0.0,23470.0,0.0,14448.0,1520.0,7502.0,0.0,0.0,0.0,160.2
Viet Nam,2017,18296.487,7.992,0.0,105.5,99.2,17809.4,0.0,0.0,262.0,0.965,0.0,11.43,0.0,25615.965,0.0,16593.0,1520.0,7502.0,0.0,0.0,0.965,204.7
Viet Nam,2018,18713.057,104.992,0.0,137.5,99.2,17989.4,0.0,0.0,363.5,4.715,0.0,13.75,0.0,26839.715,0.0,17813.0,1520.0,7502.0,0.0,0.0,4.715,236.7
Viet Nam,2019,26084.325,4994.49,0.0,275.35,99.2,20326.0,0.0,0.0,370.82,4.715,0.0,13.75,0.0,28605.715,0.0,19744.0,1520.0,7337.0,0.0,0.0,4.715,374.55
Viet Nam,2020,38386.275,16661.49,0.0,418.8,99.2,20817.0,0.0,0.0,371.32,4.715,0.0,13.75,0.0,30416.715,0.0,21554.0,1520.0,7338.0,0.0,0.0,4.715,518.0
Viet Nam,2021,42999.775,16661.49,0.0,3124.0,994.0,21847.0,0.0,0.0,354.82,4.715,0.0,13.75,0.0,33496.715,0.0,24674.0,1666.0,7152.0,0.0,0.0,4.715,4118.0
Viet Nam,2022,44691.225,16698.49,0.0,4071.0,994.0,22535.0,0.0,0.0,363.72,15.265,0.0,13.75,0.0,34145.265,0.0,25312.0,1666.0,7152.0,0.0,0.0,15.265,5065.0
Viet Nam,2023,46011.945,17077.41,0.0,4784.0,1104.0,22638.8,0.0,0.0,363.72,30.265,0.0,13.75,0.0,36792.265,0.0,27944.0,1666.0,7152.0,0.0,0.0,30.265,5888.0
