Country, start, end, startpoint
Algeria, 2017, 2021, 2019
Bonaire Sint Eustatius and Saba, 2019, 2019, 2019
British Virgin Islands, 2015, 2019, 2017
Bulgaria, 2012, 2020, 2014
Czechia, 2012, 2019, 2015
Ecuador, 2014, 2021, 2019
Egypt, 2019, 2021, 2020
Fiji, 2018, 2019, 2018
Germany, 2012, 2016, 2014
Greece, 2013, 2019, 2016
Guadeloupe, 2012, 2018, 2015
Guatemala, 2017, 2017, 2017
Haiti, 2018, 2019, 2018
Italy, 2012, 2019, 2015
Libya, 2012, 2012, 2012
Marshall Islands (the), 2016, 2020, 2019
R¿ªunion, 2015, 2015, 2015
Romania, 2014, 2018, 2017
United Kingdom of Great Britain and Northern Ireland (the), 2016, 2020, 2019
Uruguay, 2017, 2017, 2017
Yemen, 2018, 2018, 2018
