,0
0,Afghanistan
1,Albania
2,Algeria
3,American Samoa
4,Andorra
5,Angola
6,Anguilla
7,Antigua and Barbuda
8,Argentina
9,Armenia
10,Aruba
11,Australia
12,Austria
13,Azerbaijan
14,Bahamas (the)
15,Bahrain
16,Bangladesh
17,Barbados
18,Belarus
19,Belgium
20,Belize
21,Benin
22,Bhutan
23,Bolivia (Plurinational State of)
24,"Bonaire, Sint Eustatius and Saba"
25,Bosnia and Herzegovina
26,Botswana
27,Brazil
28,British Virgin Islands
29,Brunei Darussalam
30,Bulgaria
31,Burkina Faso
32,Burundi
33,Cabo Verde
34,Cambodia
35,Cameroon
36,Canada
37,Cayman Islands
38,Central African Republic (the)
39,Chad
40,Chile
41,China
42,"China, Hong Kong Special Administrative Region"
43,Chinese Taipei
44,Colombia
45,Comoros (the)
46,Congo (the)
47,Cook Islands (the)
48,Costa Rica
49,Croatia
50,Cuba
51,Curaçao
52,Cyprus
53,Czechia
54,Côte d'Ivoire
55,Democratic People's Republic of Korea (the)
56,Democratic Republic of the Congo (the)
57,Denmark
58,Djibouti
59,Dominica
60,Dominican Republic (the)
61,Ecuador
62,Egypt
63,El Salvador
64,Equatorial Guinea
65,Eritrea
66,Estonia
67,Eswatini
68,Ethiopia
69,Fiji
70,Finland
71,France
72,French Guiana
73,French Polynesia
74,Gabon
75,Gambia (the)
76,Georgia
77,Germany
78,Ghana
79,Greece
80,Greenland
81,Grenada
82,Guadeloupe
83,Guam
84,Guatemala
85,Guinea
86,Guinea-Bissau
87,Guyana
88,Haiti
89,Honduras
90,Hungary
91,Iceland
92,India
93,Indonesia
94,Iran (Islamic Republic of)
95,Iraq
96,Ireland
97,Israel
98,Italy
99,Jamaica
100,Japan
101,Jordan
102,Kazakhstan
103,Kenya
104,Kiribati
105,Kosovo
106,Kuwait
107,Lao People's Democratic Republic (the)
108,Latvia
109,Lebanon
110,Lesotho
111,Liberia
112,Libya
113,Lithuania
114,Luxembourg
115,Madagascar
116,Malawi
117,Malaysia
118,Maldives
119,Mali
120,Malta
121,Marshall Islands (the)
122,Martinique
123,Mauritania
124,Mauritius
125,Mayotte
126,Mexico
127,Micronesia (Federated States of)
128,Mongolia
129,Morocco
130,Mozambique
131,Myanmar
132,Namibia
133,Nauru
134,Nepal
135,Netherlands (Kingdom of the)
136,New Caledonia
137,New Zealand
138,Nicaragua
139,Niger (the)
140,Nigeria
141,Niue
142,North Macedonia
143,Norway
144,Oman
145,Pakistan
146,Palau
147,Panama
148,Papua New Guinea
149,Paraguay
150,Peru
151,Philippines (the)
152,Poland
153,Portugal
154,Puerto Rico
155,Qatar
156,Republic of Korea (the)
157,Republic of Moldova (the)
158,Romania
159,Russian Federation (the)
160,Rwanda
161,R¿ªunion
162,Saint Barth¿ªlemy
163,Saint Kitts and Nevis
164,Saint Lucia
165,Saint Martin (French Part)
166,Saint Vincent and the Grenadines
167,Samoa
168,Sao Tome and Principe
169,Saudi Arabia
170,Senegal
171,Serbia
172,Seychelles
173,Sierra Leone
174,Singapore
175,Slovakia
176,Slovenia
177,Solomon Islands
178,Somalia
179,South Africa
180,South Sudan
181,Spain
182,Sri Lanka
183,State of Palestine (the)
184,Sudan (the)
185,Suriname
186,Sweden
187,Switzerland
188,Syrian Arab Republic (the)
189,Thailand
190,Timor-Leste
191,Togo
192,Tokelau
193,Tonga
194,Trinidad and Tobago
195,Tunisia
196,Turks and Caicos Islands
197,Tuvalu
198,T¿╣rkiye
199,Uganda
200,Ukraine
201,United Arab Emirates (the)
202,United Kingdom of Great Britain and Northern Ireland (the)
203,United Republic of Tanzania (the)
204,United States of America (the)
205,United States Virgin Islands
206,Uruguay
207,Uzbekistan
208,Vanuatu
209,Venezuela (Bolivarian Republic of)
210,Viet Nam
211,Yemen
212,Zambia
213,Zimbabwe
