,0
0,Afghanistan
1,Algeria
2,Argentina
3,Armenia
4,Australia
5,Austria
6,Azerbaijan
7,Bahamas (the)
8,Bahrain
9,Bangladesh
10,Barbados
11,Belarus
12,Belgium
13,"Bonaire, Sint Eustatius and Saba"
14,Bosnia and Herzegovina
15,Brazil
16,British Virgin Islands
17,Bulgaria
18,Cabo Verde
19,Canada
20,Cayman Islands
21,Chile
22,China
23,"China, Hong Kong Special Administrative Region"
24,Chinese Taipei
25,Colombia
26,Costa Rica
27,Croatia
28,Cuba
29,Curaçao
30,Cyprus
31,Democratic People's Republic of Korea (the)
32,Denmark
33,Dominica
34,Dominican Republic (the)
35,Ecuador
36,Egypt
37,Estonia
38,Ethiopia
39,Falkland Islands (Malvinas)
40,Faroe Islands
41,Finland
42,France
43,French Polynesia
44,Gambia (the)
45,Georgia
46,Germany
47,Greece
48,Greenland
49,Guadeloupe
50,Guatemala
51,Guyana
52,Haiti
53,Honduras
54,Hungary
55,Iceland
56,India
57,Indonesia
58,Iran (Islamic Republic of)
59,Ireland
60,Israel
61,Italy
62,Jamaica
63,Japan
64,Jordan
65,Kazakhstan
66,Kenya
67,Kosovo
68,Kuwait
69,Latvia
70,Lebanon
71,Lithuania
72,Luxembourg
73,Madagascar
74,Malta
75,Marshall Islands (the)
76,Martinique
77,Mauritania
78,Mauritius
79,Mexico
80,Micronesia (Federated States of)
81,Mongolia
82,Montenegro
83,Morocco
84,Myanmar
85,Namibia
86,Nepal
87,Netherlands (Kingdom of the)
88,New Caledonia
89,New Zealand
90,Nicaragua
91,North Macedonia
92,Norway
93,Pakistan
94,Panama
95,Peru
96,Philippines (the)
97,Poland
98,Portugal
99,Puerto Rico
100,Republic of Korea (the)
101,Republic of Moldova (the)
102,Romania
103,Russian Federation (the)
104,R¿ªunion
105,Saint Kitts and Nevis
106,Saint Pierre and Miquelon
107,Saudi Arabia
108,Serbia
109,Singapore
110,Slovakia
111,Slovenia
112,Somalia
113,South Africa
114,South Georgia and the South Sandwich Islands
115,Spain
116,Sri Lanka
117,Sweden
118,Switzerland
119,Syrian Arab Republic (the)
120,Thailand
121,Tonga
122,Tunisia
123,T¿╣rkiye
124,Ukraine
125,United Kingdom of Great Britain and Northern Ireland (the)
126,United States of America (the)
127,Uruguay
128,Vanuatu
129,Venezuela (Bolivarian Republic of)
130,Viet Nam
