Year,Total Renewable,Solar energy,Wind energy,Hydropower,Marine energy,Bioenergy,Geothermal energy,Total Non-renewable,Pumped storage,Fossil fuels,Nuclear,Other non-renewable energy
2000,752192.434,1224.691,16956.675,697169.998,238.25,28330.12,8272.7,2761932.489,84966.55,2290384.614,358461.5,28119.825
2001,774174.098,1476.414,23947.906,709059.493,240.25,31489.125,7960.91,2780887.14,80799.55,2313611.295,360322.4,26153.895
2002,794240.446,1822.521,30711.984,720271.816,243.25,33077.425,8113.45,2890326.61,82575.55,2434431.72,366680.5,6638.84
2003,825117.651,2349.945,38645.057,740387.163,244.25,35302.886,8188.35,3012316.224,82687.55,2555885.399,366526.36,7216.915
2004,859572.554,3436.187,47657.213,761767.442,243.25,38259.582,8208.88,3101290.076,83998.55,2635941.961,373804.6,7544.965
2005,899814.778,4944.92,58382.656,784161.201,241.25,43528.635,8556.116,3207987.196,86842.55,2734547.367,377973.54,8623.739
2006,941667.033,6499.567,73135.614,805564.569,240.25,47468.337,8758.696,3348747.539,89524.55,2871542.398,378598.27,9082.321
2007,992792.284,8976.022,91523.785,832413.899,242.55,50623.092,9012.936,3475242.705,93699.55,2992769.732,379782.2,8991.223
2008,1056848.099,15250.752,115540.989,861919.028,245.55,54572.964,9318.816,3579267.071,95618.55,3095873.953,378601.6,9172.968
2009,1136952.498,23591.166,150120.756,891731.386,245.765,61509.109,9754.316,3701516.429,100238.05,3211680.043,379947.4,9650.936
2010,1224920.505,41576.957,181075.824,925877.098,250.095,66226.215,9914.316,3851256.595,100052.05,3356792.345,381693.9,12718.3
2011,1331306.043,73964.989,220205.239,953921.047,503.18,72652.922,10058.666,3981955.575,103273.21,3480415.039,386400.3,11867.026
2012,1444857.952,104228.953,267271.174,984711.803,509.909,77618.447,10517.666,4085821.207,105605.294,3588745.752,378859.7,12610.461
2013,1567242.173,141411.963,299914.327,1029604.688,510.116,85014.713,10786.366,4193539.495,107729.244,3694945.564,376876.8,13987.887
2014,1700116.114,180759.166,349417.734,1067333.698,513.527,90843.273,11248.716,4327948.792,109470.744,3820045.603,383714.8,14717.645
2015,1854105.115,229058.367,416334.765,1099509.822,513.088,96842.107,11846.966,4421238.346,111901.744,3911192.743,383390.5,14753.359
2016,2016554.937,301186.358,466956.459,1130040.822,523.708,105674.616,12172.974,4537787.761,116994.784,4006701.217,398320.3,15771.46
2017,2187082.199,396316.204,515044.819,1151053.663,527.664,111410.236,12729.613,4633432.214,119843.664,4097207.538,398748.93,17632.082
2018,2362540.189,492640.787,563839.619,1173728.032,527.654,118607.736,13196.361,4766057.079,120366.164,4218483.599,405197.69,22009.626
2019,2550319.489,595492.499,622773.377,1192459.1,526.134,125244.338,13824.041,4822837.726,120612.164,4273896.445,403681.79,24647.327
2020,2822930.908,728405.331,733719.062,1212924.784,524.539,133199.851,14157.341,4888013.556,122354.924,4339984.01,399727.39,25947.232
2021,3088809.325,873858.454,824601.993,1235882.207,523.966,139510.667,14432.038,4956840.861,125040.824,4400866.954,401902.88,29030.203
2022,3396323.388,1073135.531,901230.776,1260882.706,525.124,145896.296,14652.955,5016934.353,134383.644,4450473.011,401517.38,30560.318
2023,3869704.713,1418968.982,1017198.786,1267902.92,526.92,150261.17,14845.935,5093539.203,139851.244,4522909.461,399567.1,31211.398
